transaction_date,ticker,asset_description,type,amount,representative,timestamp,merge_key,people,state,party_x,total_senate_years,total_house_years,total_years,donation_merge_key,name,total_raised,total_from_small_donors,percent_from_small_donors*,total_money_raised,party_y
2017-07-31,NFLX,"Netflix, Inc.",purchase,"$15,001 - $50,000",Pat Roberts,1501473600,Pat Roberts,Pat Roberts,Kansas,Republican,24,16,40,Pat Roberts,Pat Roberts,$934102,$2211,0.24%,Raised over $100k,R
2017-07-28,BAC,Bank of America Corporation,sale_full,"$1,001 - $15,000",Pat Roberts,1501214400,Pat Roberts,Pat Roberts,Kansas,Republican,24,16,40,Pat Roberts,Pat Roberts,$934102,$2211,0.24%,Raised over $100k,R
2017-07-28,NFLX,"Netflix, Inc.",sale_full,"$15,001 - $50,000",Pat Roberts,1501214400,Pat Roberts,Pat Roberts,Kansas,Republican,24,16,40,Pat Roberts,Pat Roberts,$934102,$2211,0.24%,Raised over $100k,R
2017-07-28,BIDU,"Baidu, Inc.",sale_full,"$15,001 - $50,000",Pat Roberts,1501214400,Pat Roberts,Pat Roberts,Kansas,Republican,24,16,40,Pat Roberts,Pat Roberts,$934102,$2211,0.24%,Raised over $100k,R
2017-07-18,BAC,Bank of America Corporation,purchase,"$1,001 - $15,000",Pat Roberts,1500350400,Pat Roberts,Pat Roberts,Kansas,Republican,24,16,40,Pat Roberts,Pat Roberts,$934102,$2211,0.24%,Raised over $100k,R
2017-07-24,TJX,"The TJX Companies, Inc.",purchase,"$1,001 - $15,000",Pat Roberts,1500868800,Pat Roberts,Pat Roberts,Kansas,Republican,24,16,40,Pat Roberts,Pat Roberts,$934102,$2211,0.24%,Raised over $100k,R
2017-07-20,FB,"Facebook, Inc.",purchase,"$15,001 - $50,000",Pat Roberts,1500523200,Pat Roberts,Pat Roberts,Kansas,Republican,24,16,40,Pat Roberts,Pat Roberts,$934102,$2211,0.24%,Raised over $100k,R
2017-07-14,T,AT&amp;T Inc.,purchase,"$1,001 - $15,000",Pat Roberts,1500004800,Pat Roberts,Pat Roberts,Kansas,Republican,24,16,40,Pat Roberts,Pat Roberts,$934102,$2211,0.24%,Raised over $100k,R
2017-06-27,WFC,Wells Fargo &amp; Company,sale_full,"$1,001 - $15,000",Shelley M Capito,1498536000,"Shelley Capito, Moore","Shelley Capito, Moore",West Virginia,Republican,6,14,20,Shelley Moore Capito,Shelley Moore Capito,$5749615,$382825,6.66%,Raised over $100k,R
2017-06-27,C,Citigroup Inc.,sale_full,"$1,001 - $15,000",Shelley M Capito,1498536000,"Shelley Capito, Moore","Shelley Capito, Moore",West Virginia,Republican,6,14,20,Shelley Moore Capito,Shelley Moore Capito,$5749615,$382825,6.66%,Raised over $100k,R
