transaction_date,ticker,asset_description,type,amount,representative,timestamp,merge_key,people,state,party_x,total_senate_years,total_house_years,total_years,donation_merge_key,name,total_raised,total_from_small_donors,percent_from_small_donors*,total_money_raised,party_y
2017-08-01,CELG,Celgene Corporation,purchase,"$15,001 - $50,000",Pat Roberts,1501560000,Pat Roberts,Pat Roberts,Kansas,Republican,24,16,40,Pat Roberts,Pat Roberts,$934102,$2211,0.24%,Raised over $100k,R
2017-08-01,SBUX,Starbucks Corporation,purchase,"$1,001 - $15,000",Pat Roberts,1501560000,Pat Roberts,Pat Roberts,Kansas,Republican,24,16,40,Pat Roberts,Pat Roberts,$934102,$2211,0.24%,Raised over $100k,R
2017-08-08,AAPL,Apple Inc.,sale_partial,"$1,001 - $15,000",William Cassidy,1502164800,Bill Cassidy,Bill Cassidy,Louisiana,Republican,6,6,12,Bill Cassidy,Bill Cassidy,$11304150,$640547,5.67%,Raised over $100k,R
2017-08-24,URBN,"Urban Outfitters, Inc.",purchase,"$1,001 - $15,000","David A Perdue , Jr",1503547200,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-21,GEL,"Genesis Energy, L.P.",sale_partial,"$1,001 - $15,000","David A Perdue , Jr",1503288000,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-17,HBI,Hanesbrands Inc.,purchase,"$1,001 - $15,000","David A Perdue , Jr",1502942400,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-16,AXTA,Axalta Coating Systems Ltd.,purchase,"$1,001 - $15,000","David A Perdue , Jr",1502856000,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-16,HBI,Hanesbrands Inc.,purchase,"$1,001 - $15,000","David A Perdue , Jr",1502856000,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-15,WBA,"Walgreens Boots Alliance, Inc.",sale_full,"$15,001 - $50,000","David A Perdue , Jr",1502769600,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-15,AAPL,Apple Inc.,sale_partial,"$1,001 - $15,000","David A Perdue , Jr",1502769600,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-14,HBI,Hanesbrands Inc.,purchase,"$1,001 - $15,000","David A Perdue , Jr",1502683200,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-14,AXTA,Axalta Coating Systems Ltd.,purchase,"$1,001 - $15,000","David A Perdue , Jr",1502683200,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-14,WLK,Westlake Chemical Corporation,sale_full,"$1,001 - $15,000","David A Perdue , Jr",1502683200,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-11,AXTA,Axalta Coating Systems Ltd.,purchase,"$1,001 - $15,000","David A Perdue , Jr",1502424000,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-11,RF,Regions Financial Corporation,purchase,"$1,001 - $15,000","David A Perdue , Jr",1502424000,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-11,WMT,"Wal-Mart Stores, Inc.",sale_partial,"$15,001 - $50,000","David A Perdue , Jr",1502424000,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-11,HBI,Hanesbrands Inc.,purchase,"$1,001 - $15,000","David A Perdue , Jr",1502424000,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-10,WBA,"Walgreens Boots Alliance, Inc.",sale_partial,"$15,001 - $50,000","David A Perdue , Jr",1502337600,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-10,FDC,First Data Corporation,purchase,"$1,001 - $15,000","David A Perdue , Jr",1502337600,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-10,LYV,"Live Nation Entertainment, Inc.",sale_partial,"$1,001 - $15,000","David A Perdue , Jr",1502337600,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-10,WMT,"Wal-Mart Stores, Inc.",sale_partial,"$1,001 - $15,000","David A Perdue , Jr",1502337600,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-10,WMT,"Wal-Mart Stores, Inc.",sale_partial,"$15,001 - $50,000","David A Perdue , Jr",1502337600,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-10,HBI,Hanesbrands Inc.,purchase,"$1,001 - $15,000","David A Perdue , Jr",1502337600,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-10,WLK,Westlake Chemical Corporation,sale_partial,"$1,001 - $15,000","David A Perdue , Jr",1502337600,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-10,AXTA,Axalta Coating Systems Ltd.,purchase,"$1,001 - $15,000","David A Perdue , Jr",1502337600,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-10,WMT,"Wal-Mart Stores, Inc.",sale_partial,"$1,001 - $15,000","David A Perdue , Jr",1502337600,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-09,EMR,Emerson Electric Co.,purchase,"$15,001 - $50,000","David A Perdue , Jr",1502251200,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-09,GE,General Electric Company,sale_full,"$15,001 - $50,000","David A Perdue , Jr",1502251200,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
2017-08-09,DIS,The Walt Disney Company,purchase,"$15,001 - $50,000","David A Perdue , Jr",1502251200,David Davis,David Davis,Tennessee,Republican,0,2,2,David Perdue,David Perdue,$102253913,$23123738,22.61%,Raised over $100k,R
