people,state,party,total_senate_years,total_house_years,total_years
Lincoln Davis,Tennessee,Democratic,0,8,8
"Mendel Davis, J.",South Carolina,Democratic,0,10,10
"Robert Davis, W.",Michigan,Republican,0,14,14
Rodney Davis,Illinois,Republican,0,8,8
"Susan Davis, A.",California,Democratic,0,20,20
Tom Davis,Virginia,Republican,0,13,13
Mark Dayton,Minnesota,Democratic,6,0,6
la de,Texas,Democratic,0,32,32
"Lugo, de, Ron",Virgin Islands,Democratic,0,20,20
Nathan Deal,Georgia,Republican,0,17,17
Madeleine Dean,Pennsylvania,Democratic,0,2,2
Joel Deckard,Indiana,Republican,0,4,4
Dennis DeConcini,Arizona,Democratic,18,0,18
"Peter DeFazio, A.",Oregon,Democratic,0,34,34
Diana DeGette,Colorado,Democratic,0,24,24
Bill Delahunt,Massachusetts,Democratic,0,14,14
"James Delaney, J.",New York,Democratic,0,34,34
"John Delaney, K.",Maryland,Democratic,0,6,6
"Rosa DeLauro, L.",Connecticut,Democratic,0,30,30
Tom DeLay,Texas,Republican,0,22,22
"Suzan DelBene, K.",Washington,Democratic,0,9,9
Antonio Delgado,New York,Democratic,0,2,2
John Dellenback,Oregon,Republican,0,8,8
"Ronald Dellums, V.",California,Democratic,0,28,28
"Val Demings, Butler",Florida,Democratic,0,4,4
Jim DeMint,South Carolina,Republican,7,6,13
"Lawrence DeNardis, J.",Connecticut,Republican,0,2,2
Jeff Denham,California,Republican,0,8,8
"Frank Denholm, E.",South Dakota,Democratic,0,4,4
"David Dennis, W.",Indiana,Republican,0,6,6
"Charles Dent, W.",Pennsylvania,Republican,0,13,13
"John Dent, H.",Pennsylvania,Democratic,0,22,22
Jeremiah Denton,Alabama,Republican,6,0,6
"Butler Derrick, C.",South Carolina,Democratic,0,20,20
"Edward Derwinski, J.",Illinois,Republican,0,24,24
Ron DeSantis,Florida,Republican,0,5,5
Mark DeSaulnier,California,Democratic,0,6,6
Scott DesJarlais,Tennessee,Republican,0,10,10
"Theodore Deutch, E.",Florida,Democratic,0,11,11
Peter Deutsch,Florida,Democratic,0,12,12
"Samuel Devine, L.",Ohio,Republican,0,22,22
Mike DeWine,Ohio,Republican,12,8,20
Lincoln Diaz-Balart,Florida,Republican,0,18,18
Mario Diaz-Balart,Florida,Republican,0,18,18
Jay Dickey,Arkansas,Republican,0,8,8
"William Dickinson, L.",Alabama,Republican,0,28,28
"Norman Dicks, D.",Washington,Democratic,0,36,36
Charles Diggs,Michigan,Democratic,0,26,26
Debbie Dingell,Michigan,Democratic,0,6,6
"John Dingell, D.",Michigan,Democratic,0,60,60
"Joseph DioGuardi, J.",New York,Republican,0,4,4
"Alan Dixon, J.",Illinois,Democratic,12,0,12
"Julian Dixon, C.",California,Democratic,0,24,24
"Charles Djou, K.",Hawaii,Republican,0,1,1
"Christopher Dodd, J.",Connecticut,Democratic,30,6,36
Lloyd Doggett,Texas,Democratic,0,26,26
"Robert Dold, J.",Illinois,Republican,0,4,4
Elizabeth Dole,North Carolina,Republican,6,0,6
"Robert Dole, J.",Kansas,Republican,28,8,36
"Pete Domenici, V.",New Mexico,Republican,36,0,36
"Peter Dominick, H.",Colorado,Republican,2,2,4
Byron Donalds,Florida,Republican,0,0,0
"Brian Donnelly, J.",Massachusetts,Democratic,0,14,14
Joe Donnelly,Indiana,Democratic,6,6,12
"Harold Donohue, D.",Massachusetts,Democratic,0,28,28
Daniel Donovan,New York,Republican,0,4,4
"Calvin Dooley, M.",California,Democratic,0,14,14
"John Doolittle, T.",California,Republican,0,18,18
"Byron Dorgan, L.",North Dakota,Democratic,20,12,32
William Dorn,South Carolina,Democratic,0,26,26
"Robert Dornan, K.",California,Republican,0,18,18
"Charles Dougherty, F.",Pennsylvania,Republican,0,4,4
Chuck Douglas,New Hampshire,Republican,0,2,2
Wayne Dowdy,Mississippi,Democratic,0,8,8
"Thomas Downey, J.",New York,Democratic,0,18,18
"Thomas Downing, N.",Virginia,Democratic,0,18,18
"Michael Doyle, F.",Pennsylvania,Democratic,0,26,26
"Thelma Drake, D.",Virginia,Republican,0,4,4
David Dreier,California,Republican,0,32,32
Steve Driehaus,Ohio,Democratic,0,2,2
"Robert Drinan, F.",Massachusetts,Democratic,0,10,10
"Pont, du",Delaware,Republican,0,6,6
Tammy Duckworth,Illinois,Democratic,4,4,8
"Sean Duffy, P.",Wisconsin,Republican,0,8,8
"Thaddeus Dulski, J.",New York,Democratic,0,16,16
Jeff Duncan,South Carolina,Republican,0,10,10
"John Duncan, J.",Tennessee,Republican,0,24,24
John Duncan,Tennessee,Republican,0,32,32
"Robert Duncan, B.",Oregon,Democratic,0,10,10
Jennifer Dunn,Washington,Republican,0,12,12
Jim Dunn,Michigan,Republican,0,2,2
"Neal Dunn, P.",Florida,Republican,0,4,4
"Richard Durbin, J.",Illinois,Democratic,24,14,38
Dave Durenberger,Minnesota,Republican,18,0,18
"John Durkin, A.",New Hampshire,Democratic,6,0,6
"Bernard Dwyer, J.",New Jersey,Democratic,0,12,12
"Mervyn Dymally, M.",California,Democratic,0,12,12
Roy Dyson,Maryland,Democratic,0,10,10
"Thomas Eagleton, F.",Missouri,Democratic,20,0,20
"Joseph Early, D.",Massachusetts,Democratic,0,18,18
"John East, P.",North Carolina,Republican,6,0,6
"James Eastland, O.",Mississippi,Democratic,38,0,38
"Dennis Eckart, E.",Ohio,Democratic,0,12,12
"Fred Eckert, J.",New York,Republican,0,2,2
Bob Eckhardt,Texas,Democratic,0,14,14
"Robert Edgar, W.",Pennsylvania,Democratic,0,12,12
Chet Edwards,Texas,Democratic,0,20,20
Don Edwards,California,Democratic,0,32,32
"Donna Edwards, F.",Maryland,Democratic,0,9,9
Jack Edwards,Alabama,Republican,0,20,20
John Edwards,North Carolina,Democratic,6,0,6
Mickey Edwards,Oklahoma,Republican,0,16,16
"Vernon Ehlers, J.",Michigan,Republican,0,18,18
Robert Ehrlich,Maryland,Republican,0,8,8
Joshua Eilberg,Pennsylvania,Democratic,0,12,12
Keith Ellison,Minnesota,Democratic,0,12,12
"Renee Ellmers, L.",North Carolina,Republican,0,6,6
Brad Ellsworth,Indiana,Democratic,0,4,4
Rahm Emanuel,Illinois,Democratic,0,6,6
Bill Emerson,Missouri,Republican,0,16,16
"Jo Emerson, Ann",Missouri,Republican,0,16,16
"David Emery, F.",Maine,Republican,0,8,8
Tom Emmer,Minnesota,Republican,0,6,6
"Eliot Engel, L.",New York,Democratic,0,32,32
Glenn English,Oklahoma,Democratic,0,20,20
Karan English,Arizona,Democratic,0,2,2
Phil English,Pennsylvania,Republican,0,14,14
John Ensign,Nevada,Republican,10,4,14
"William Enyart, L.",Illinois,Democratic,0,2,2
"Michael Enzi, B.",Wyoming,Republican,24,0,24
Arlen Erdahl,Minnesota,Republican,0,4,4
Ben Erdreich,Alabama,Democratic,0,10,10
"John Erlenborn, N.",Illinois,Republican,0,20,20
Joni Ernst,Iowa,Republican,6,0,6
"Allen Ertel, E.",Pennsylvania,Democratic,0,6,6
Sam Ervin,North Carolina,Democratic,2,2,4
"Marvin Esch, L.",Michigan,Republican,0,10,10
Veronica Escobar,Texas,Democratic,0,2,2
"Edwin Eshleman, D.",Pennsylvania,Republican,0,10,10
"Anna Eshoo, G.",California,Democratic,0,28,28
Adriano Espaillat,New York,Democratic,0,4,4
Mike Espy,Mississippi,Democratic,0,8,8
Ron Estes,Kansas,Republican,0,4,4
"Elizabeth Esty, H.",Connecticut,Democratic,0,6,6
Bob Etheridge,North Carolina,Democratic,0,14,14
"Billy Evans, Lee",Georgia,Democratic,0,6,6
Cooper Evans,Iowa,Republican,0,6,6
"Daniel Evans, J.",Washington,Republican,6,0,6
"David Evans, W.",Indiana,Democratic,0,8,8
Dwight Evans,Pennsylvania,Democratic,0,5,5
"Frank Evans, E.",Colorado,Democratic,0,14,14
Lane Evans,Illinois,Democratic,0,24,24
"Melvin Evans, H.",Virgin Islands,Republican,0,2,2
Thomas Evans,Delaware,Republican,0,6,6
Terry Everett,Alabama,Republican,0,16,16
"Joe Evins, L.",Tennessee,Democratic,0,30,30
"Thomas Ewing, W.",Illinois,Republican,0,10,10
"J. Exon, James",Nebraska,Democratic,18,0,18
Lauch Faircloth,North Carolina,Republican,6,0,6
Eni Faleomavaega,American Samoa,Democratic,0,26,26
Mary Fallin,Oklahoma,Republican,0,4,4
Pat Fallon,Texas,Republican,0,0,0
"Paul Fannin, J.",Arizona,Republican,12,0,12
Blake Farenthold,Texas,Republican,0,7,7
Sam Farr,California,Democratic,0,24,24
"John Fary, G.",Illinois,Democratic,0,8,8
"Dante Fascell, B.",Florida,Democratic,0,38,38
"John Faso, J.",New York,Republican,0,2,2
Chaka Fattah,Pennsylvania,Democratic,0,21,21
"Walter Fauntroy, E.",District of Columbia,Democratic,0,20,20
"Harris Fawell, W.",Illinois,Republican,0,14,14
Vic Fazio,California,Democratic,0,20,20
Tom Feeney,Florida,Republican,0,6,6
Randy Feenstra,Iowa,Republican,0,0,0
"Edward Feighan, F.",Ohio,Democratic,0,10,10
"Russell Feingold, D.",Wisconsin,Democratic,18,0,18
Dianne Feinstein,California,Democratic,29,0,29
"Millicent Fenwick, H.",New Jersey,Republican,0,8,8
A. Ferguson,Georgia,Republican,0,4,4
Mike Ferguson,New Jersey,Republican,0,8,8
"Geraldine Ferraro, A.",New York,Democratic,0,6,6
Bobbi Fiedler,California,Republican,0,6,6
Cleo Fields,Louisiana,Democratic,0,4,4
Jack Fields,Texas,Republican,0,16,16
Bob Filner,California,Democratic,0,20,20
"Stephen Fincher, Lee",Tennessee,Republican,0,6,6
Paul Findley,Illinois,Republican,0,22,22
"Eric Fingerhut, D.",Ohio,Democratic,0,2,2
Abby Finkenauer,Iowa,Democratic,0,2,2
Michelle Fischbach,Minnesota,Republican,0,0,0
Deb Fischer,Nebraska,Republican,8,0,8
"Hamilton, Fish, Jr.",New York,Republican,0,26,26
"Joesph Fisher, L.",Virginia,Democratic,0,6,6
"O. Fisher, C.",Texas,Democratic,0,32,32
"Floyd Fithian, J.",Indiana,Democratic,0,8,8
Peter Fitzgerald,Illinois,Republican,6,0,6
Scott Fitzgerald,Wisconsin,Republican,0,0,0
"Brian Fitzpatrick, K.",Pennsylvania,Republican,0,4,4
"Michael Fitzpatrick, G.",Pennsylvania,Republican,0,8,8
"Floyd Flake, H.",New York,Democratic,0,12,12
Jeff Flake,Arizona,Republican,6,12,18
"Michael Flanagan, Patrick",Illinois,Republican,0,2,2
Charles Fleischmann,Tennessee,Republican,0,10,10
John Fleming,Louisiana,Republican,0,8,8
Ernie Fletcher,Kentucky,Republican,0,4,4
Lizzie Fletcher,Texas,Democratic,0,2,2
"Ronnie Flippo, G.",Alabama,Democratic,0,14,14
"Daniel Flood, J.",Pennsylvania,Democratic,0,28,28
Bill Flores,Texas,Republican,0,10,10
"James Florio, J.",New Jersey,Democratic,0,16,16
Walter Flowers,Alabama,Democratic,0,10,10
John Flynt,Georgia,Democratic,0,26,26
"Thomas Foglietta, M.",Pennsylvania,Democratic,0,18,18
Mark Foley,Florida,Republican,0,12,12
"Thomas Foley, S.",Washington,Democratic,0,30,30
"Hiram Fong, L.",Hawaii,Republican,18,0,18
"J. Forbes, Randy",Virginia,Republican,0,16,16
"Michael Forbes, P.",New York,Democratic,0,6,6
Gerald Ford,Michigan,Republican,0,26,26
"Harold Ford, E.",Tennessee,Democratic,0,22,22
Harold Ford,Tennessee,Democratic,0,10,10
"Wendell Ford, H.",Kentucky,Democratic,24,0,24
"William Ford, D.",Michigan,Democratic,0,30,30
"Edwin Forsythe, B.",New Jersey,Republican,0,16,16
Jeff Fortenberry,Nebraska,Republican,0,16,16
"Fortuno, Commissioner",Puerto Rico,Republican,0,4,4
Vito Fossella,New York,Republican,0,12,12
Bill Foster,Illinois,Democratic,0,11,11
"L. Fountain, H.",North Carolina,Democratic,0,30,30
Tillie Fowler,Florida,Republican,0,8,8
"Wyche, Fowler, Jr.",Georgia,Democratic,6,10,16
"Jon Fox, D.",Pennsylvania,Republican,0,4,4
Virginia Foxx,North Carolina,Republican,0,16,16
Sheila Frahm,Kansas,Republican,2,0,2
Barney Frank,Massachusetts,Democratic,0,32,32
Lois Frankel,Florida,Democratic,0,8,8
Al Franken,Minnesota,Democratic,9,0,9
"C. Franklin, Scott",Florida,Republican,0,0,0
"William Franklin, W.",Mississippi,Republican,0,4,4
Bob Franks,New Jersey,Republican,0,8,8
"Gary Franks, A.",Connecticut,Republican,0,6,6
Trent Franks,Arizona,Republican,0,14,14
"Donald Fraser, M.",Minnesota,Democratic,0,16,16
"Victor Frazer, O.",Virgin Islands,Independent,0,2,2
Peter Frelinghuysen,New Jersey,Republican,0,22,22
"Rodney Frelinghuysen, P.",New Jersey,Republican,0,24,24
Bill Frenzel,Minnesota,Republican,0,20,20
"Lou, Frey, Jr.",Florida,Republican,0,10,10
Dan Frisa,New York,Republican,0,2,2
"William Frist, H.",Tennessee,Republican,12,0,12
"Harold Froehlich, V.",Wisconsin,Republican,0,2,2
Martin Frost,Texas,Democratic,0,26,26
"Marcia Fudge, L.",Ohio,Democratic,0,13,13
James Fulbright,Arkansas,Democratic,4,2,6
Russ Fulcher,Idaho,Republican,0,2,2
Richard Fulton,Tennessee,Democratic,0,14,14
David Funderburk,North Carolina,Republican,0,2,2
Don Fuqua,Florida,Democratic,0,24,24
Elizabeth Furse,Oregon,Democratic,0,6,6
"Fuster, Commissioner",Puerto Rico,Democratic,0,8,8
Tulsi Gabbard,Hawaii,Democratic,0,8,8
Matt Gaetz,Florida,Republican,0,4,4
Mike Gallagher,Wisconsin,Republican,0,4,4
Elton Gallegly,California,Republican,0,26,26
"Pete Gallego, P.",Texas,Democratic,0,2,2
Ruben Gallego,Arizona,Democratic,0,6,6
"Dean Gallo, A.",New Jersey,Republican,0,10,10
"Robert Gammage, A.",Texas,Democratic,0,2,2
Greg Ganske,Iowa,Republican,0,8,8
John Garamendi,California,Democratic,0,12,12
"Andrew Garbarino, R.",New York,Republican,0,0,0
Jesus Garcia,Illinois,Democratic,0,2,2
Joe Garcia,Florida,Democratic,0,2,2
Mike Garcia,California,Republican,0,1,1
Robert Garcia,New York,Democratic,0,14,14
"Sylvia Garcia, R.",Texas,Democratic,0,2,2
Cory Gardner,Colorado,Republican,6,4,10
E. Garn,Utah,Republican,18,0,18
Scott Garrett,New Jersey,Republican,0,14,14
Thomas Garrett,Virginia,Republican,0,2,2
"Joseph Gaydos, M.",Pennsylvania,Democratic,0,26,26
Sam Gejdenson,Connecticut,Democratic,0,20,20
"George Gekas, W.",Pennsylvania,Republican,0,20,20
"Richard Gephardt, A.",Missouri,Democratic,0,28,28
Pete Geren,Texas,Democratic,0,8,8
Jim Gerlach,Pennsylvania,Republican,0,12,12
"Tom Gettys, S.",South Carolina,Democratic,0,12,12
"Robert Giaimo, N.",Connecticut,Democratic,0,22,22
Greg Gianforte,Montana,Republican,0,4,4
Jim Gibbons,Nevada,Republican,0,10,10
Sam Gibbons,Florida,Democratic,0,34,34
Bob Gibbs,Ohio,Republican,0,10,10
"Christopher Gibson, P.",New York,Republican,0,6,6
Gabrielle Giffords,Arizona,Democratic,0,5,5
"Wayne Gilchrest, T.",Maryland,Republican,0,18,18
"Kirsten Gillibrand, E.",New York,Democratic,12,2,14
"Paul Gillmor, E.",Ohio,Republican,0,18,18
"Benjamin Gilman, A.",New York,Republican,0,30,30
"Carlos Gimenez, A.",Florida,Republican,0,0,0
Phil Gingrey,Georgia,Republican,0,12,12
Newt Gingrich,Georgia,Republican,0,20,20
Bo Ginn,Georgia,Democratic,0,10,10
John Glenn,Ohio,Democratic,24,0,24
Dan Glickman,Kansas,Democratic,0,18,18
Louie Gohmert,Texas,Republican,0,16,16
"Jared Golden, F.",Maine,Democratic,0,2,2
Barry Goldwater,Arizona,Republican,30,0,30
"Barry, Goldwater, Jr.",California,Republican,0,14,14
Jimmy Gomez,California,Democratic,0,4,4
Tony Gonzales,Texas,Republican,0,0,0
Anthony Gonzalez,Ohio,Republican,0,2,2
"Charles Gonzalez, A.",Texas,Democratic,0,14,14
"Henry Gonzalez, B.",Texas,Democratic,0,38,38
Vicente Gonzalez,Texas,Democratic,0,4,4
"Gonzalez-Colon, Commissioner, Jenniffer",Puerto Rico,Republican,0,4,4
Bob Good,Virginia,Republican,0,0,0
Virgil Goode,Virginia,Republican,0,12,12
Lance Gooden,Texas,Republican,0,2,2
Bob Goodlatte,Virginia,Republican,0,26,26
"George Goodling, A.",Pennsylvania,Republican,0,12,12
"William Goodling, F.",Pennsylvania,Republican,0,26,26
"Carte Goodwin, Patrick",West Virginia,Democratic,0,0,0
Bart Gordon,Tennessee,Democratic,0,26,26
"Albert, Gore, Jr.",Tennessee,Democratic,8,8,16
Slade Gorton,Washington,Republican,18,0,18
"Paul Gosar, A.",Arizona,Republican,0,10,10
"Porter Goss, J.",Florida,Republican,0,15,15
Josh Gottheimer,New Jersey,Democratic,0,4,4
Trey Gowdy,South Carolina,Republican,0,8,8
Willis Gradison,Ohio,Republican,0,20,20
Bob Graham,Florida,Democratic,18,0,18
Gwen Graham,Florida,Democratic,0,2,2
Lindsey Graham,South Carolina,Republican,18,8,26
Phil Gramm,Texas,Republican,17,6,23
Rod Grams,Minnesota,Republican,6,2,8
Fred Grandy,Iowa,Republican,0,8,8
Kay Granger,Texas,Republican,0,24,24
Bill Grant,Florida,Republican,0,4,4
Chuck Grassley,Iowa,Republican,40,6,46
"Ella Grasso, T.",Connecticut,Democratic,0,4,4
Mike Gravel,Alaska,Democratic,12,0,12
Garret Graves,Louisiana,Republican,0,6,6
Sam Graves,Missouri,Republican,0,20,20
Tom Graves,Georgia,Republican,0,10,10
"Kenneth Gray, J.",Illinois,Democratic,0,24,24
William Gray,Pennsylvania,Democratic,0,14,14
Alan Grayson,Florida,Democratic,0,6,6
Al Green,Texas,Democratic,0,16,16
Edith Green,Oregon,Democratic,0,20,20
Gene Green,Texas,Democratic,0,26,26
Mark Green,Wisconsin,Republican,0,8,8
"Mark Green, E.",Tennessee,Republican,0,2,2
"S. Green, William",New York,Republican,0,16,16
"William Green, J.",Pennsylvania,Democratic,0,14,14
"Marjorie Greene, Taylor",Georgia,Republican,0,0,0
"James Greenwood, C.",Pennsylvania,Republican,0,12,12
Judd Gregg,New Hampshire,Republican,18,8,26
"Robert Griffin, P.",Michigan,Republican,6,8,14
Tim Griffin,Arkansas,Republican,0,4,4
"H. Griffith, Morgan",Virginia,Republican,0,10,10
Parker Griffith,Alabama,Republican,0,2,2
"Martha Griffiths, W.",Michigan,Democratic,0,20,20
"Raul Grijalva, M.",Arizona,Democratic,0,18,18
"Michael Grimm, G.",New York,Republican,0,4,4
"Wayne Grisham, R.",California,Republican,0,4,4
"H. Gross, R.",Iowa,Republican,0,26,26
"John Grotberg, E.",Illinois,Republican,0,2,2
Glenn Grothman,Wisconsin,Republican,0,6,6
James Grover,New York,Republican,0,12,12
Felix Grucci,New York,Republican,0,2,2
"Frank Guarini, J.",New Jersey,Democratic,0,14,14
"Charles Gubser, S.",California,Republican,0,22,22
Gilbert Gude,Maryland,Republican,0,10,10
"V. Gudger, Lamar",North Carolina,Democratic,0,4,4
Michael Guest,Mississippi,Republican,0,2,2
"Frank Guinta, C.",New Hampshire,Republican,0,4,4
Steve Gunderson,Wisconsin,Republican,0,16,16
Bill Gunter,Florida,Democratic,0,2,2
"Edward Gurney, J.",Florida,Republican,2,6,8
Brett Guthrie,Kentucky,Republican,0,12,12
"Luis Gutierrez, V.",Illinois,Democratic,0,26,26
Gil Gutknecht,Minnesota,Republican,0,12,12
Tennyson Guyer,Ohio,Republican,0,10,10
"Debra Haaland, A.",New Mexico,Democratic,0,2,2
"Kay Hagan, R.",North Carolina,Democratic,6,0,6
Jim Hagedorn,Minnesota,Republican,0,2,2
"Thomas Hagedorn, M.",Minnesota,Republican,0,8,8
Chuck Hagel,Nebraska,Republican,12,0,12
Bill Hagerty,Tennessee,Republican,0,0,0
Janice Hahn,California,Democratic,0,6,6
"James Haley, A.",Florida,Democratic,0,24,24
"John Hall, J.",New York,Democratic,0,4,4
Katie Hall,Indiana,Democratic,0,4,4
Kwanza Hall,Georgia,Democratic,0,1,1
"Ralph Hall, M.",Texas,Republican,0,34,34
Sam Hall,Texas,Democratic,0,12,12
"Tim Hall, L.",Illinois,Democratic,0,2,2
"Tony Hall, P.",Ohio,Democratic,0,23,23
"Deborah Halvorson, L.",Illinois,Democratic,0,2,2
Dan Hamburg,California,Democratic,0,2,2
"Lee Hamilton, H.",Indiana,Democratic,0,34,34
"John Hammerschmidt, P.",Arkansas,Republican,0,26,26
Colleen Hanabusa,Hawaii,Democratic,0,8,8
"Kent Hance, R.",Texas,Democratic,0,6,6
Mel Hancock,Missouri,Republican,0,8,8
"Karen Handel, C.",Georgia,Republican,0,2,2
"James Hanley, M.",New York,Democratic,0,16,16
"Richard Hanna, L.",New York,Republican,0,6,6
"Richard Hanna, T.",California,Democratic,0,12,12
"Mark Hannaford, W.",California,Democratic,0,4,4
"Robert Hanrahan, P.",Illinois,Republican,0,2,2
"Clifford Hansen, P.",Wyoming,Republican,12,0,12
"George Hansen, V.",Idaho,Republican,0,14,14
"James Hansen, V.",Utah,Republican,0,22,22
"Julia Hansen, Butler",Washington,Democratic,0,16,16
Orval Hansen,Idaho,Republican,0,6,6
Josh Harder,California,Democratic,0,2,2
Cresent Hardy,Nevada,Republican,0,2,2
Phil Hare,Illinois,Democratic,0,4,4
Tom Harkin,Iowa,Democratic,30,10,40
Jane Harman,California,Democratic,0,16,16
Gregg Harper,Mississippi,Republican,0,10,10
"Michael Harrington, J.",Massachusetts,Democratic,0,10,10
Andy Harris,Maryland,Republican,0,10,10
Claude Harris,Alabama,Democratic,0,6,6
Herbert Harris,Virginia,Democratic,0,6,6
"Kamala Harris, D.",California,Democratic,4,0,4
Katherine Harris,Florida,Republican,0,4,4
Frank Harrison,Pennsylvania,Democratic,0,2,2
"William Harsha, H.",Ohio,Republican,0,20,20
Diana Harshbarger,Tennessee,Republican,0,0,0
"Gary Hart, W.",Colorado,Democratic,12,0,12
"Melissa Hart, A.",Pennsylvania,Republican,0,6,6
"Philip Hart, A.",Michigan,Democratic,18,0,18
Vance Hartke,Indiana,Democratic,18,0,18
"Thomas Hartnett, F.",South Carolina,Republican,0,6,6
Vicky Hartzler,Missouri,Republican,0,10,10
James Harvey,Michigan,Republican,0,14,14
"Floyd Haskell, K.",Colorado,Democratic,6,0,6
"Margaret Hassan, Wood",New Hampshire,Democratic,4,0,4
"J. Hastert, Dennis",Illinois,Republican,0,20,20
"Alcee Hastings, L.",Florida,Democratic,0,28,28
Doc Hastings,Washington,Republican,0,20,20
"James Hastings, F.",New York,Republican,0,8,8
"Orrin Hatch, G.",Utah,Republican,42,0,42
Charles Hatcher,Georgia,Democratic,0,12,12
"Mark Hatfield, O.",Oregon,Republican,30,0,30
Paul Hatfield,Montana,Democratic,2,0,2
"William Hathaway, D.",Maine,Democratic,6,8,14
"Augustus Hawkins, F.",California,Democratic,0,28,28
Paula Hawkins,Florida,Republican,6,0,6
Josh Hawley,Missouri,Republican,2,0,2
"Samuel Hayakawa, Ichiye",California,Republican,6,0,6
"Charles Hayes, A.",Illinois,Democratic,0,10,10
Jahana Hayes,Connecticut,Democratic,0,2,2
"James Hayes, A.",Louisiana,Republican,0,10,10
"Philip Hayes, H.",Indiana,Democratic,0,2,2
Robin Hayes,North Carolina,Republican,0,10,10
"Wayne Hays, L.",Ohio,Democratic,0,28,28
"J. Hayworth, D.",Arizona,Republican,0,12,12
Nan Hayworth,New York,Republican,0,2,2
"F. Hebert, Edward",Louisiana,Democratic,0,36,36
Ken Hechler,West Virginia,Democratic,0,18,18
Chic Hecht,Nevada,Republican,6,0,6
Denny Heck,Washington,Democratic,0,8,8
"Joseph Heck, J.",Nevada,Republican,0,6,6
"Margaret Heckler, M.",Massachusetts,Republican,0,16,16
Joel Hefley,Colorado,Republican,0,20,20
Howell Heflin,Alabama,Democratic,18,0,18
W. Hefner,North Carolina,Democratic,0,24,24
Cecil Heftel,Hawaii,Democratic,0,10,10
Frederick Heineman,North Carolina,Republican,0,2,2
Martin Heinrich,New Mexico,Democratic,8,4,12
John Heinz,Pennsylvania,Republican,16,6,22
Heidi Heitkamp,North Dakota,Democratic,6,0,6
Dean Heller,Nevada,Republican,8,4,12
Jesse Helms,North Carolina,Republican,30,0,30
Henry Helstoski,New Jersey,Democratic,0,12,12
"David Henderson, N.",North Carolina,Democratic,0,16,16
Bill Hendon,North Carolina,Republican,0,4,4
"Paul Henry, B.",Michigan,Republican,0,10,10
Jeb Hensarling,Texas,Republican,0,16,16
Wally Herger,California,Republican,0,26,26
Kevin Hern,Oklahoma,Republican,0,3,3
Yvette Herrell,New Mexico,Republican,0,0,0
"Beutler, Herrera, Jaime",Washington,Republican,0,10,10
"Sandlin, Herseth, Stephanie",South Dakota,Democratic,0,7,7
"Dennis Hertel, M.",Michigan,Democratic,0,12,12
"Jody Hice, B.",Georgia,Republican,0,6,6
"John Hickenlooper, W.",Colorado,Democratic,0,0,0
"Floyd Hicks, V.",Washington,Democratic,0,12,12
Brian Higgins,New York,Democratic,0,16,16
Clay Higgins,Louisiana,Republican,0,4,4
"Jack Hightower, E.",Texas,Democratic,0,10,10
"John Hiler, Patrick",Indiana,Republican,0,10,10
"Baron Hill, P.",Indiana,Democratic,0,10,10
"J. Hill, French",Arkansas,Republican,0,6,6
Katie Hill,California,Democratic,0,0,0
Rick Hill,Montana,Republican,0,4,4
Van Hilleary,Tennessee,Republican,0,8,8
"Earl Hilliard, F.",Alabama,Democratic,0,10,10
"Elwood Hillis, H.",Indiana,Republican,0,16,16
"James Himes, A.",Connecticut,Democratic,0,12,12
"Maurice Hinchey, D.",New York,Democratic,0,20,20
Ruben Hinojosa,Texas,Democratic,0,20,20
"Andrew Hinshaw, J.",California,Republican,0,4,4
Ashley Hinson,Iowa,Republican,0,0,0
"Jon Hinson, C.",Mississippi,Republican,0,4,4
"Mazie Hirono, K.",Hawaii,Democratic,8,6,14
Peter Hoagland,Nebraska,Democratic,0,6,6
"David Hobson, L.",Ohio,Republican,0,18,18
"George Hochbrueckner, J.",New York,Democratic,0,8,8
"Kathleen Hochul, C.",New York,Democratic,0,2,2
"Paul Hodes, W.",New Hampshire,Democratic,0,4,4
"Kaneaster, Hodges, Jr.",Arkansas,Democratic,2,0,2
"Joseph Hoeffel, M.",Pennsylvania,Democratic,0,6,6
Peter Hoekstra,Michigan,Republican,0,18,18
John Hoeven,North Dakota,Republican,10,0,10
"Lawrence Hogan, J.",Maryland,Republican,0,6,6
"Martin Hoke, R.",Ohio,Republican,0,4,4
Tim Holden,Pennsylvania,Democratic,0,20,20
George Holding,North Carolina,Republican,0,8,8
Chet Holifield,California,Democratic,0,6,6
"Kenneth Holland, L.",South Carolina,Democratic,0,8,8
"Harold Hollenbeck, C.",New Jersey,Republican,0,6,6
"Ernest Hollings, F.",South Carolina,Democratic,40,0,40
Trey Hollingsworth,Indiana,Republican,0,4,4
Clyde Holloway,Louisiana,Republican,0,6,6
"Marjorie Holt, S.",Maryland,Republican,0,14,14
Rush Holt,New Jersey,Democratic,0,16,16
Elizabeth Holtzman,New York,Democratic,0,8,8
"Michael Honda, M.",California,Democratic,0,16,16
Darlene Hooley,Oregon,Democratic,0,12,12
"Larry Hopkins, J.",Kentucky,Republican,0,14,14
"Joan Horn, Kelly",Missouri,Democratic,0,2,2
"Kendra Horn, S.",Oklahoma,Democratic,0,2,2
Stephen Horn,California,Republican,0,10,10
Steven Horsford,Nevada,Democratic,0,4,4
"Frank Horton, J.",New York,Republican,0,30,30
Craig Hosmer,California,Republican,0,22,22
"John Hostettler, N.",Indiana,Republican,0,12,12
Amo Houghton,New York,Republican,0,18,18
