people,state,party,total_senate_years,total_house_years,total_years
Robin Beard,Tennessee,Republican,0,10,10
Joyce Beatty,Ohio,Democratic,0,8,8
Bob Beauprez,Colorado,Republican,0,4,4
Xavier Becerra,California,Democratic,0,24,24
"Berkley Bedell, W.",Iowa,Democratic,0,12,12
Mark Begich,Alaska,Democratic,6,0,6
"Anthony Beilenson, C.",California,Democratic,0,20,20
Alphonzo Bell,California,Republican,0,16,16
Chris Bell,Texas,Democratic,0,2,2
"Henry Bellmon, L.",Oklahoma,Republican,12,0,12
Cleve Benedict,West Virginia,Republican,0,2,2
Dan Benishek,Michigan,Republican,0,6,6
"Benitez, Commissioner, Jamie",Puerto Rico,Democratic,0,4,4
"Adam, Benjamin, Jr.",Indiana,Democratic,0,6,6
"Michael Bennet, F.",Colorado,Democratic,12,0,12
"Charles Bennett, E.",Florida,Democratic,0,44,44
"Robert Bennett, F.",Utah,Republican,18,0,18
"Wallace Bennett, F.",Utah,Republican,24,0,24
"Kerry Bentivolio, L.",Michigan,Republican,0,2,2
"Helen Bentley, Delich",Maryland,Republican,0,10,10
Ken Bentsen,Texas,Democratic,0,8,8
"Lloyd Bentsen, M.",Texas,Democratic,22,8,30
Cliff Bentz,Oregon,Republican,0,0,0
Ami Bera,California,Democratic,0,8,8
Doug Bereuter,Nebraska,Republican,0,25,25
Rick Berg,North Dakota,Republican,0,2,2
Bob Bergland,Minnesota,Republican,0,8,8
Jack Bergman,Michigan,Republican,0,4,4
Shelley Berkley,Nevada,Democratic,0,14,14
"Howard Berman, L.",California,Democratic,0,30,30
Marion Berry,Arkansas,Democratic,0,14,14
Ed Bethune,Arkansas,Republican,0,6,6
Tom Bevill,Alabama,Democratic,0,30,30
Donald Beyer,Virginia,Democratic,0,6,6
Mario Biaggi,New York,Democratic,0,20,20
Alan Bible,Nevada,Democratic,22,0,22
"Stephanie Bice, I.",Oklahoma,Republican,0,0,0
Joseph Biden,Delaware,Democratic,36,0,36
Edward Biester,Pennsylvania,Republican,0,10,10
Judy Biggert,Illinois,Republican,0,14,14
Andy Biggs,Arizona,Republican,0,4,4
"Brian Bilbray, P.",California,Republican,0,14,14
"James Bilbray, H.",Nevada,Democratic,0,8,8
"Gus Bilirakis, M.",Florida,Republican,0,14,14
Michael Bilirakis,Florida,Republican,0,24,24
Jeff Bingaman,New Mexico,Democratic,30,0,30
"Jonathan Bingham, B.",New York,Democratic,0,18,18
Dan Bishop,North Carolina,Republican,0,2,2
Mike Bishop,Michigan,Republican,0,4,4
Rob Bishop,Utah,Republican,0,18,18
Sanford Bishop,Georgia,Democratic,0,28,28
"Timothy Bishop, H.",New York,Democratic,0,12,12
Diane Black,Tennessee,Republican,0,8,8
Ben Blackburn,Georgia,Republican,0,8,8
Marsha Blackburn,Tennessee,Republican,2,16,18
"Lucien Blackwell, E.",Pennsylvania,Democratic,0,4,4
"Rod Blagojevich, R.",Illinois,Democratic,0,6,6
James Blanchard,Michigan,Democratic,0,8,8
"John Blatnik, Anton",Minnesota,Democratic,0,28,28
"Ben Blaz, G.",Guam,Republican,0,8,8
Tom Bliley,Virginia,Republican,0,20,20
Michael Blouin,Iowa,Democratic,0,4,4
Rod Blum,Iowa,Republican,0,4,4
Earl Blumenauer,Oregon,Democratic,0,26,26
Richard Blumenthal,Connecticut,Democratic,10,0,10
"Rochester, Blunt, Lisa",Delaware,Democratic,0,4,4
Roy Blunt,Missouri,Republican,10,14,24
"Peter Blute, I.",Massachusetts,Republican,0,4,4
"John Boccieri, A.",Ohio,Democratic,0,2,2
Lauren Boebert,Colorado,Republican,0,0,0
Sherwood Boehlert,New York,Republican,0,24,24
"John Boehner, A.",Ohio,Republican,0,24,24
Corinne Boggs,Louisiana,Democratic,0,18,18
"Edward Boland, P.",Massachusetts,Democratic,0,36,36
Richard Bolling,Missouri,Democratic,0,34,34
Suzanne Bonamici,Oregon,Democratic,0,9,9
"Christopher Bond, S.",Missouri,Republican,24,0,24
"William Boner, H.",Tennessee,Democratic,0,10,10
Henry Bonilla,Texas,Republican,0,14,14
"David Bonior, E.",Michigan,Democratic,0,26,26
Don Bonker,Washington,Democratic,0,14,14
Jo Bonner,Alabama,Republican,0,10,10
"Mack, Bono, Mary",California,Republican,0,16,16
Sonny Bono,California,Republican,0,4,4
"Cory Booker, A.",New Jersey,Democratic,8,0,8
John Boozman,Arkansas,Republican,10,10,20
"Madeleine Bordallo, Z.",Guam,Democratic,0,16,16
Dan Boren,Oklahoma,Democratic,0,8,8
"David Boren, L.",Oklahoma,Democratic,16,0,16
"Robert Borski, A.",Pennsylvania,Democratic,0,20,20
Rudy Boschwitz,Minnesota,Republican,12,0,12
"Douglas Bosco, H.",California,Democratic,0,8,8
Mike Bost,Illinois,Republican,0,6,6
"Leonard Boswell, L.",Iowa,Democratic,0,16,16
Rick Boucher,Virginia,Democratic,0,28,28
Beau Boulter,Texas,Republican,0,4,4
Carolyn Bourdeaux,Georgia,Democratic,0,0,0
Charles Boustany,Louisiana,Republican,0,12,12
"David Bowen, R.",Mississippi,Democratic,0,10,10
Jamaal Bowman,New York,Democratic,0,0,0
Barbara Boxer,California,Democratic,24,10,34
Allen Boyd,Florida,Democratic,0,14,14
"Nancy Boyda, E.",Kansas,Democratic,0,2,2
"Brendan Boyle, F.",Pennsylvania,Democratic,0,6,6
John Brademas,Indiana,Democratic,0,22,22
Bill Bradley,New Jersey,Democratic,18,0,18
Jeb Bradley,New Hampshire,Republican,0,4,4
Kevin Brady,Texas,Republican,0,24,24
Nicholas Brady,New Jersey,Republican,2,0,2
"Robert Brady, A.",Pennsylvania,Democratic,0,22,22
"Bruce Braley, L.",Iowa,Democratic,0,8,8
Frank Brasco,New York,Democratic,0,8,8
Dave Brat,Virginia,Republican,0,5,5
Mike Braun,Indiana,Republican,2,0,2
"William Bray, G.",Indiana,Republican,0,24,24
"John Breaux, B.",Louisiana,Democratic,18,16,34
"John Breckinridge, B.",Kentucky,Democratic,0,6,6
"Joseph Brennan, E.",Maine,Democratic,0,4,4
"Bill Brewster, K.",Oklahoma,Democratic,0,6,6
Jim Bridenstine,Oklahoma,Republican,0,5,5
Bobby Bright,Alabama,Democratic,0,2,2
Anthony Brindisi,New York,Democratic,0,2,2
Jack Brinkley,Georgia,Democratic,0,16,16
Robin Britt,North Carolina,Democratic,0,2,2
Bill Brock,Tennessee,Republican,6,8,14
William Brodhead,Michigan,Democratic,0,8,8
"Edward Brooke, W.",Massachusetts,Republican,12,0,12
"Jack Brooks, B.",Texas,Democratic,0,42,42
Mo Brooks,Alabama,Republican,0,10,10
"Susan Brooks, W.",Indiana,Republican,0,8,8
"William Broomfield, S.",Michigan,Republican,0,36,36
"Donald Brotzman, G.",Colorado,Republican,0,10,10
