,level_0,transaction_date,ticker,asset_description,type,amount,representative,timestamp,merge_key,people,state,party_x,total_senate_years,total_house_years,total_years,donation_merge_key,name,total_raised,total_from_small_donors,percent_from_small_donors*,total_money_raised,party_y,start,day_30,day_60,day_90,day_180,sp_start,sp_30,sp_60,sp_90,sp_180
0,0,2020-03-18,CBRE,CBRE Group Inc Common Stock Class A,sale_partial,"$1,001 - $15,000",Susie Lee,1584504000,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,35.52000045776367,44.5,39.09000015258789,46.7400016784668,46.90999984741211,2398.10009765625,2874.56005859375,2953.909912109375,3097.739990234375,3340.969970703125
1,1,2020-03-24,CNC,Centene Corporation,purchase,"$1,001 - $15,000",Susie Lee,1585022400,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,48.72999954223633,69.23999786376953,64.83999633789062,63.36000061035156,61.130001068115234,2447.330078125,2797.800048828125,2955.449951171875,3083.760009765625,3319.469970703125
2,2,2020-03-31,DG,Dollar General Corporation,purchase,"$1,001 - $15,000",Susie Lee,1585627200,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,151.00999450683594,175.3000030517578,191.5,189.47999572753906,208.38999938964844,2584.590087890625,2912.429931640625,3055.72998046875,3130.010009765625,3298.4599609375
3,3,2020-02-21,ENV,"Envestnet, Inc",sale_partial,"$1,001 - $15,000",Susie Lee,1582261200,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,78.98999786376953,48.86000061035156,55.400001525878906,70.97000122070312,80.23999786376953,3337.75,2237.39990234375,2799.31005859375,2991.77001953125,3389.780029296875
4,4,2020-03-17,LKQ,LKQ Corporation,sale_partial,"$1,001 - $15,000",Susie Lee,1584417600,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,19.690000534057617,19.84000015258789,23.600000381469727,25.979999542236328,32.15999984741211,2529.18994140625,2799.550048828125,2863.699951171875,3115.340087890625,3340.969970703125
5,5,2020-02-05,NXST,"Nexstar Media Group, Inc. - Class A",sale_partial,"$1,001 - $15,000",Susie Lee,1580878800,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,125.08999633789062,97.8499984741211,58.43000030517578,78.33999633789062,87.6500015258789,3334.68994140625,2972.3701171875,2663.679931640625,2929.800048828125,3271.1201171875
6,6,2020-02-24,OKE,"ONEOK, Inc.",sale_partial,"$1,001 - $15,000",Susie Lee,1582520400,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,75.06999969482422,22.049999237060547,29.200000762939453,37.599998474121094,26.8799991607666,3225.889892578125,2447.330078125,2797.800048828125,3036.1298828125,3397.159912109375
7,7,2020-03-09,OKE,"ONEOK, Inc.",sale_full,"$1,001 - $15,000",Susie Lee,1583726400,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,38.099998474121094,24.280000686645508,29.75,41.97999954223633,26.760000228881836,2746.56005859375,2659.409912109375,2881.18994140625,3190.139892578125,3426.9599609375
8,8,2020-03-16,QSR,Restaurant Brands International Inc. Common Shares,sale_full,"$1,001 - $15,000",Susie Lee,1584331200,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,35.560001373291016,41.66999816894531,51.0099983215332,56.20000076293945,54.5099983215332,2386.1298828125,2783.360107421875,2852.5,3113.489990234375,3340.969970703125
9,9,2020-02-25,COO,"The Cooper Companies, Inc.",sale_full,"$1,001 - $15,000",Susie Lee,1582606800,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,336.45001220703125,256.8900146484375,293.2099914550781,316.6300048828125,301.6000061035156,3128.2099609375,2475.56005859375,2836.739990234375,3029.72998046875,3397.159912109375
10,10,2020-02-24,UNVR,Univar Solutions Inc.,sale_full,"$1,001 - $15,000",Susie Lee,1582520400,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,22.030000686645508,10.470000267028809,11.890000343322754,15.199999809265137,17.670000076293945,3225.889892578125,2447.330078125,2797.800048828125,3036.1298828125,3397.159912109375
11,11,2020-03-17,USFD,US Foods Holding Corp.,sale_partial,"$1,001 - $15,000",Susie Lee,1584417600,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,12.329999923706055,15.970000267028809,17.149999618530273,19.989999771118164,23.450000762939453,2529.18994140625,2799.550048828125,2863.699951171875,3115.340087890625,3340.969970703125
13,13,2020-02-05,XPO,"XPO Logistics, Inc.",sale_partial,"$1,001 - $15,000",Susie Lee,1580878800,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,92.25,65.7699966430664,50.22999954223633,68.4000015258789,75.0199966430664,3334.68994140625,2972.3701171875,2663.679931640625,2929.800048828125,3271.1201171875
14,14,2020-03-13,BSX,Boston Scientific Corporation,sale_partial,"$1,001 -",Alan S. Lowenthal,1584072000,"Alan Lowenthal, S.","Alan Lowenthal, S.",California,Democratic,0,8,8,Alan Lowenthal,Alan Lowenthal,$678648,$32768,4.83%,Raised over $100k,D,32.33000183105469,35.91999816894531,35.77000045776367,36.70000076293945,40.91999816894531,2711.02001953125,2846.06005859375,2820.0,3124.739990234375,3331.840087890625
15,15,2020-03-13,SPCE,"Virgin Galactic Holdings, Inc.",sale_partial,"$1,001 -",Alan S. Lowenthal,1584072000,"Alan Lowenthal, S.","Alan Lowenthal, S.",California,Democratic,0,8,8,Alan Lowenthal,Alan Lowenthal,$678648,$32768,4.83%,Raised over $100k,D,14.6899995803833,19.030000686645508,16.540000915527344,15.350000381469727,17.399999618530273,2711.02001953125,2846.06005859375,2820.0,3124.739990234375,3331.840087890625
16,16,2020-07-02,CVS,CVS Health Corporation,sale_full,"$1,001 - $15,000",Robert J. Wittman,1593662400,"Robert Wittman, J.","Robert Wittman, J.",Virginia,Republican,0,14,14,J Cox,J Cox,$5695157,$776359,13.63%,Raised over $100k,D,64.69999694824219,63.86000061035156,60.279998779296875,58.95000076293945,68.08000183105469,3130.010009765625,3294.610107421875,3526.64990234375,3408.60009765625,3735.360107421875
17,17,2020-07-02,HD,Home Depot,purchase,"$1,001 - $15,000",Robert J. Wittman,1593662400,"Robert Wittman, J.","Robert Wittman, J.",Virginia,Republican,0,14,14,J Cox,J Cox,$5695157,$776359,13.63%,Raised over $100k,D,248.5,266.17999267578125,285.94000244140625,282.1000061035156,269.25,3130.010009765625,3294.610107421875,3526.64990234375,3408.60009765625,3735.360107421875
18,18,2020-07-02,KMB,Kimberly-Clark Corp,purchase,"$1,001 - $15,000",Robert J. Wittman,1593662400,"Robert Wittman, J.","Robert Wittman, J.",Virginia,Republican,0,14,14,J Cox,J Cox,$5695157,$776359,13.63%,Raised over $100k,D,143.1999969482422,151.60000610351562,154.25999450683594,149.52999877929688,133.9499969482422,3130.010009765625,3294.610107421875,3526.64990234375,3408.60009765625,3735.360107421875
19,19,2020-07-02,RGLD,Royal Gold Inc,purchase,"$1,001 - $15,000",Robert J. Wittman,1593662400,"Robert Wittman, J.","Robert Wittman, J.",Virginia,Republican,0,14,14,J Cox,J Cox,$5695157,$776359,13.63%,Raised over $100k,D,121.05000305175781,140.41000366210938,133.1699981689453,120.4000015258789,106.80000305175781,3130.010009765625,3294.610107421875,3526.64990234375,3408.60009765625,3735.360107421875
20,20,2020-07-02,V,Visa Inc,purchase,"$1,001 - $15,000",Robert J. Wittman,1593662400,"Robert Wittman, J.","Robert Wittman, J.",Virginia,Republican,0,14,14,J Cox,J Cox,$5695157,$776359,13.63%,Raised over $100k,D,195.6699981689453,190.69000244140625,213.35000610351562,203.5399932861328,212.6300048828125,3130.010009765625,3294.610107421875,3526.64990234375,3408.60009765625,3735.360107421875
21,21,2020-09-30,MSFT,Microsoft Corporation,purchase,"$1,001 - $15,000",Suzan K. DelBene,1601438400,"Suzan DelBene, K.","Suzan DelBene, K.",Washington,Democratic,0,9,9,Suzan DelBene,Suzan DelBene,$2182985,$141769,6.49%,Raised over $100k,D,210.3300018310547,204.72000122070312,214.07000732421875,217.69000244140625,236.47999572753906,3363.0,3310.110107421875,3621.6298828125,3700.64990234375,3974.5400390625
22,22,2020-09-02,MSFT,Microsoft Corporation,sale_partial,"$5,000,001 - $25,000,000",Suzan K. DelBene,1599019200,"Suzan DelBene, K.","Suzan DelBene, K.",Washington,Democratic,0,9,9,Suzan DelBene,Suzan DelBene,$2182985,$141769,6.49%,Raised over $100k,D,231.64999389648438,206.19000244140625,202.3300018310547,214.36000061035156,232.3800048828125,3580.840087890625,3348.419921875,3310.239990234375,3699.1201171875,3811.14990234375
23,23,2020-10-13,AMED,Amedisys Inc,sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Greg Gianforte,Greg Gianforte,Montana,Republican,0,4,4,Greg Gianforte,Greg Gianforte,$352725,$17860,5.06%,Raised over $100k,R,252.19000244140625,244.39999389648438,270.2900085449219,293.8900146484375,283.0899963378906,3511.929931640625,3572.659912109375,3663.4599609375,3768.25,4128.7998046875
24,24,2020-10-13,ANSS,"ANSYS, Inc.",sale_partial,"$15,001 - $50,000",Greg Gianforte,1602561600,Greg Gianforte,Greg Gianforte,Montana,Republican,0,4,4,Greg Gianforte,Greg Gianforte,$352725,$17860,5.06%,Raised over $100k,R,351.30999755859375,328.9599914550781,335.19000244140625,364.2799987792969,366.70001220703125,3511.929931640625,3572.659912109375,3663.4599609375,3768.25,4128.7998046875
25,25,2020-10-13,TECH,Bio-Techne Corp,sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Greg Gianforte,Greg Gianforte,Montana,Republican,0,4,4,Greg Gianforte,Greg Gianforte,$352725,$17860,5.06%,Raised over $100k,R,269.5799865722656,306.45001220703125,304.9599914550781,347.7099914550781,408.7200012207031,3511.929931640625,3572.659912109375,3663.4599609375,3768.25,4128.7998046875
26,26,2020-10-13,CHE,Chemed Corp,sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Greg Gianforte,Greg Gianforte,Montana,Republican,0,4,4,Greg Gianforte,Greg Gianforte,$352725,$17860,5.06%,Raised over $100k,R,493.25,487.30999755859375,485.0,529.2000122070312,465.3699951171875,3511.929931640625,3572.659912109375,3663.4599609375,3768.25,4128.7998046875
27,27,2020-10-13,CGNX,Cognex Corporation,sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Greg Gianforte,Greg Gianforte,Montana,Republican,0,4,4,Greg Gianforte,Greg Gianforte,$352725,$17860,5.06%,Raised over $100k,R,69.12999725341797,72.2300033569336,76.6500015258789,84.04000091552734,85.54000091552734,3511.929931640625,3572.659912109375,3663.4599609375,3768.25,4128.7998046875
28,28,2020-10-13,CSGP,"CoStar Group, Inc.",sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Greg Gianforte,Greg Gianforte,Montana,Republican,0,4,4,Greg Gianforte,Greg Gianforte,$352725,$17860,5.06%,Raised over $100k,R,883.219970703125,898.6699829101562,848.6400146484375,853.719970703125,887.489990234375,3511.929931640625,3572.659912109375,3663.4599609375,3768.25,4128.7998046875
29,29,2020-10-15,DORM,"Dorman Products, Inc.",sale_full,"$100,001 - $250,000",Greg Gianforte,1602734400,Greg Gianforte,Greg Gianforte,Montana,Republican,0,4,4,Greg Gianforte,Greg Gianforte,$352725,$17860,5.06%,Raised over $100k,R,92.12000274658203,94.73999786376953,99.36000061035156,98.27999877929688,105.70999908447266,3483.340087890625,3585.14990234375,3694.6201171875,3851.85009765625,4127.990234375
30,30,2020-10-13,FAST,Fastenal Company,sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Greg Gianforte,Greg Gianforte,Montana,Republican,0,4,4,Greg Gianforte,Greg Gianforte,$352725,$17860,5.06%,Raised over $100k,R,45.349998474121094,47.2400016784668,49.209999084472656,50.47999954223633,50.060001373291016,3511.929931640625,3572.659912109375,3663.4599609375,3768.25,4128.7998046875
31,31,2020-10-13,LOPE,"Grand Canyon Education, Inc.",sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Greg Gianforte,Greg Gianforte,Montana,Republican,0,4,4,Greg Gianforte,Greg Gianforte,$352725,$17860,5.06%,Raised over $100k,R,82.98999786376953,85.02999877929688,90.3499984741211,89.83000183105469,112.36000061035156,3511.929931640625,3572.659912109375,3663.4599609375,3768.25,4128.7998046875
32,32,2020-10-28,GWRE,"Guidewire Software, Inc.",purchase,"$100,001 - $250,000",Greg Gianforte,1603857600,Greg Gianforte,Greg Gianforte,Montana,Republican,0,4,4,Greg Gianforte,Greg Gianforte,$352725,$17860,5.06%,Raised over $100k,R,98.31999969482422,122.70999908447266,126.95999908447266,119.20999908447266,104.94000244140625,3271.030029296875,3638.35009765625,3727.0400390625,3826.31005859375,4180.169921875
33,33,2020-10-13,JKHY,"Jack Henry & Associates, Inc.",sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Greg Gianforte,Greg Gianforte,Montana,Republican,0,4,4,Greg Gianforte,Greg Gianforte,$352725,$17860,5.06%,Raised over $100k,R,161.91000366210938,161.0800018310547,155.82000732421875,154.5500030517578,155.72000122070312,3511.929931640625,3572.659912109375,3663.4599609375,3768.25,4128.7998046875
34,34,2020-10-13,LII,"Lennox International, Inc.",sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Greg Gianforte,Greg Gianforte,Montana,Republican,0,4,4,Greg Gianforte,Greg Gianforte,$352725,$17860,5.06%,Raised over $100k,R,285.4100036621094,292.5899963378906,280.4200134277344,281.44000244140625,332.4200134277344,3511.929931640625,3572.659912109375,3663.4599609375,3768.25,4128.7998046875
35,35,2020-10-13,NEOG,Neogen Corporation,sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Greg Gianforte,Greg Gianforte,Montana,Republican,0,4,4,Greg Gianforte,Greg Gianforte,$352725,$17860,5.06%,Raised over $100k,R,71.66999816894531,72.3499984741211,79.4800033569336,83.55999755859375,92.55000305175781,3511.929931640625,3572.659912109375,3663.4599609375,3768.25,4128.7998046875
36,36,2020-10-13,PAYC,"Paycom Software, Inc.",sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Greg Gianforte,Greg Gianforte,Montana,Republican,0,4,4,Greg Gianforte,Greg Gianforte,$352725,$17860,5.06%,Raised over $100k,R,373.7799987792969,381.4599914550781,423.8900146484375,399.0,381.2300109863281,3511.929931640625,3572.659912109375,3663.4599609375,3768.25,4128.7998046875
37,37,2020-10-13,PCTY,Paylocity Holding Corporation,sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Greg Gianforte,Greg Gianforte,Montana,Republican,0,4,4,Greg Gianforte,Greg Gianforte,$352725,$17860,5.06%,Raised over $100k,R,189.0500030517578,193.1999969482422,192.11000061035156,189.3699951171875,188.72000122070312,3511.929931640625,3572.659912109375,3663.4599609375,3768.25,4128.7998046875
38,38,2020-10-13,PEGA,Pegasystems Inc.,sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Greg Gianforte,Greg Gianforte,Montana,Republican,0,4,4,Greg Gianforte,Greg Gianforte,$352725,$17860,5.06%,Raised over $100k,R,132.39999389648438,123.33999633789062,125.2300033569336,134.1699981689453,123.5199966430664,3511.929931640625,3572.659912109375,3663.4599609375,3768.25,4128.7998046875
39,39,2020-10-13,TDOC,"Teladoc Health, Inc.",sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Greg Gianforte,Greg Gianforte,Montana,Republican,0,4,4,Greg Gianforte,Greg Gianforte,$352725,$17860,5.06%,Raised over $100k,R,231.8000030517578,182.5500030517578,199.5800018310547,225.25,181.25999450683594,3511.929931640625,3572.659912109375,3663.4599609375,3768.25,4128.7998046875
40,40,2020-10-09,AAPL,Apple Inc.,sale_partial,"$15,001 - $50,000",Lloyd K. Smucker,1602216000,Lloyd Smucker,Lloyd Smucker,Pennsylvania,Republican,0,4,4,Lloyd Smucker,Lloyd Smucker,$1349318,$17562,1.30%,Raised over $100k,R,116.97000122070312,116.31999969482422,121.77999877929688,130.88999938964844,126.20999908447266,3477.139892578125,3550.5,3672.820068359375,3809.840087890625,4073.93994140625
41,41,2020-08-14,NWN,Northwest Natural Holding Company,purchase,"$1,001 - $15,000",Earl Blumenauer,1597377600,Earl Blumenauer,Earl Blumenauer,Oregon,Democratic,0,26,26,Earl Blumenauer,Earl Blumenauer,$1813365,$131238,7.24%,Raised over $100k,D,53.5,45.43000030517578,46.459999084472656,49.689998626708984,46.709999084472656,3372.85009765625,3401.199951171875,3488.669921875,3626.909912109375,3911.22998046875
42,42,2020-07-28,SYPR,"Sypris Solutions, Inc.",sale_full,"$1,001 - $15,000",James Comer,1595908800,James Comer,James Comer,Kentucky,Republican,0,5,5,James Comer,James Comer,$736116,$9223,1.25%,Raised over $100k,R,1.6299999952316284,1.2300000190734863,1.3200000524520874,1.1200000047683716,2.0199999809265137,3218.43994140625,3478.72998046875,3298.4599609375,3271.030029296875,3841.469970703125
43,43,2020-08-06,WLK,Westlake Chemical Corporation,sale_full,"$1,001 - $15,000",James Comer,1596686400,James Comer,James Comer,Kentucky,Republican,0,5,5,James Comer,James Comer,$736116,$9223,1.25%,Raised over $100k,R,57.369998931884766,62.810001373291016,66.01000213623047,71.83000183105469,79.18000030517578,3349.159912109375,3426.9599609375,3360.969970703125,3509.43994140625,3773.860107421875
44,44,2020-08-14,DOX,Amdocs Limited - Ordinary Shares,sale_partial,"$1,001 - $15,000",Lois Frankel,1597377600,Lois Frankel,Lois Frankel,Florida,Democratic,0,8,8,Lois Frankel,Lois Frankel,$1534882,$136613,8.90%,Raised over $100k,D,61.79999923706055,58.529998779296875,58.02000045776367,64.51000213623047,77.13999938964844,3372.85009765625,3401.199951171875,3488.669921875,3626.909912109375,3911.22998046875
45,45,2020-08-13,DOX,Amdocs Limited - Ordinary Shares,sale_partial,"$1,001 - $15,000",Lois Frankel,1597291200,Lois Frankel,Lois Frankel,Florida,Democratic,0,8,8,Lois Frankel,Lois Frankel,$1534882,$136613,8.90%,Raised over $100k,D,61.0099983215332,57.91999816894531,58.310001373291016,64.19000244140625,76.52999877929688,3373.429931640625,3383.5400390625,3511.929931640625,3585.14990234375,3915.590087890625
46,46,2020-08-13,BURL,"Burlington Stores, Inc.",purchase,"$1,001 - $15,000",Lois Frankel,1597291200,Lois Frankel,Lois Frankel,Florida,Democratic,0,8,8,Lois Frankel,Lois Frankel,$1534882,$136613,8.90%,Raised over $100k,D,192.39999389648438,206.4499969482422,212.07000732421875,225.41000366210938,263.8500061035156,3373.429931640625,3383.5400390625,3511.929931640625,3585.14990234375,3915.590087890625
47,47,2020-08-12,CB,Chubb Limited,purchase,"$1,001 - $15,000",Lois Frankel,1597204800,Lois Frankel,Lois Frankel,Florida,Democratic,0,8,8,Lois Frankel,Lois Frankel,$1534882,$136613,8.90%,Raised over $100k,D,130.27999877929688,120.66999816894531,123.44999694824219,146.17999267578125,162.5500030517578,3380.35009765625,3340.969970703125,3534.219970703125,3537.010009765625,3886.830078125
48,48,2020-07-24,CIEN,Ciena Corporation,purchase,"$1,001 - $15,000",Lois Frankel,1595563200,Lois Frankel,Lois Frankel,Florida,Democratic,0,8,8,Lois Frankel,Lois Frankel,$1534882,$136613,8.90%,Raised over $100k,D,56.720001220703125,59.599998474121094,39.290000915527344,40.56999969482422,52.619998931884766,3215.6298828125,3431.280029296875,3236.919921875,3400.969970703125,3798.909912109375
49,49,2020-07-28,D,"Dominion Energy, Inc.",purchase,"$1,001 - $15,000",Lois Frankel,1595908800,Lois Frankel,Lois Frankel,Florida,Democratic,0,8,8,Lois Frankel,Lois Frankel,$1534882,$136613,8.90%,Raised over $100k,D,82.05999755859375,78.08000183105469,77.05000305175781,79.80000305175781,72.29000091552734,3218.43994140625,3478.72998046875,3298.4599609375,3271.030029296875,3841.469970703125
50,50,2020-07-28,FE,FirstEnergy Corp.,sale_partial,"$1,001 - $15,000",Lois Frankel,1595908800,Lois Frankel,Lois Frankel,Florida,Democratic,0,8,8,Lois Frankel,Lois Frankel,$1534882,$136613,8.90%,Raised over $100k,D,29.139999389648438,28.010000228881836,28.600000381469727,31.760000228881836,31.270000457763672,3218.43994140625,3478.72998046875,3298.4599609375,3271.030029296875,3841.469970703125
51,51,2020-07-22,FE,FirstEnergy Corp.,sale_partial,"$1,001 - $15,000",Lois Frankel,1595390400,Lois Frankel,Lois Frankel,Florida,Democratic,0,8,8,Lois Frankel,Lois Frankel,$1534882,$136613,8.90%,Raised over $100k,D,27.09000015258789,28.360000610351562,28.6299991607666,33.029998779296875,31.670000076293945,3276.02001953125,3385.510009765625,3281.06005859375,3453.489990234375,3768.25
52,52,2020-08-14,HAE,Haemonetics Corporation,purchase,"$1,001 - $15,000",Lois Frankel,1597377600,Lois Frankel,Lois Frankel,Florida,Democratic,0,8,8,Lois Frankel,Lois Frankel,$1534882,$136613,8.90%,Raised over $100k,D,84.43000030517578,86.26000213623047,93.61000061035156,108.51000213623047,137.35000610351562,3372.85009765625,3401.199951171875,3488.669921875,3626.909912109375,3911.22998046875
53,53,2020-08-07,HSIC,"Henry Schein, Inc.",sale_full,"$1,001 - $15,000",Lois Frankel,1596772800,Lois Frankel,Lois Frankel,Florida,Democratic,0,8,8,Lois Frankel,Lois Frankel,$1534882,$136613,8.90%,Raised over $100k,D,67.80000305175781,63.7400016784668,59.459999084472656,68.0,67.43000030517578,3351.280029296875,3331.840087890625,3419.43994140625,3550.5,3826.31005859375
54,54,2020-07-28,LOW,"Lowe's Companies, Inc.",purchase,"$1,001 - $15,000",Lois Frankel,1595908800,Lois Frankel,Lois Frankel,Florida,Democratic,0,8,8,Lois Frankel,Lois Frankel,$1534882,$136613,8.90%,Raised over $100k,D,147.7100067138672,170.38999938964844,159.5500030517578,161.4199981689453,172.39999389648438,3218.43994140625,3478.72998046875,3298.4599609375,3271.030029296875,3841.469970703125
55,55,2020-07-16,STOR,STORE Capital Corporation,sale_partial,"$1,001 - $15,000",Lois Frankel,1594872000,Lois Frankel,Lois Frankel,Florida,Democratic,0,8,8,Lois Frankel,Lois Frankel,$1534882,$136613,8.90%,Raised over $100k,D,22.34000015258789,25.260000228881836,29.5,27.139999389648438,30.59000015258789,3215.570068359375,3372.85009765625,3401.199951171875,3483.81005859375,3799.610107421875
56,56,2020-07-23,SYY,Sysco Corporation,sale_full,"$1,001 - $15,000",Lois Frankel,1595476800,Lois Frankel,Lois Frankel,Florida,Democratic,0,8,8,Lois Frankel,Lois Frankel,$1534882,$136613,8.90%,Raised over $100k,D,54.939998626708984,57.459999084472656,64.0199966430664,64.80000305175781,75.56999969482422,3235.659912109375,3397.159912109375,3315.570068359375,3465.389892578125,3768.25
57,57,2020-07-24,WSO,"Watsco, Inc.",sale_partial,"$1,001 - $15,000",Lois Frankel,1595563200,Lois Frankel,Lois Frankel,Florida,Democratic,0,8,8,Lois Frankel,Lois Frankel,$1534882,$136613,8.90%,Raised over $100k,D,227.32000732421875,243.35000610351562,229.32000732421875,227.82000732421875,243.4499969482422,3215.6298828125,3431.280029296875,3236.919921875,3400.969970703125,3798.909912109375
58,58,2019-10-17,ZBRA,Zebra Technologies Corporation - Class A,sale_full,"$100,001 - $250,000",James R. Langevin,1571284800,"James Langevin, R.","James Langevin, R.",Rhode Island,Democratic,0,20,20,James Risch,James Risch,$3321170,$398778,12.01%,Raised over $100k,R,205.72999572753906,237.72999572753906,253.44000244140625,253.75,197.91000366210938,2997.949951171875,3120.4599609375,3192.52001953125,3321.75,2761.6298828125
59,59,2020-07-23,ACI,"Albertsons Companies, Inc. Class A",purchase,"$1,001 - $15,000",Susie Lee,1595476800,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,16.030000686645508,14.899999618530273,13.899999618530273,14.829999923706055,17.290000915527344,3235.659912109375,3397.159912109375,3315.570068359375,3465.389892578125,3768.25
60,60,2020-07-08,CCL,Carnival Corporation,sale_full,"$1,001 - $15,000",Susie Lee,1594180800,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,15.319999694824219,13.779999732971191,18.530000686645508,15.609999656677246,21.65999984741211,3169.93994140625,3349.159912109375,3426.9599609375,3446.830078125,3756.070068359375
61,61,2020-07-29,CBRE,CBRE Group Inc Common Stock Class A,sale_full,"$1,001 - $15,000",Susie Lee,1595995200,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,43.0,47.349998474121094,47.34000015258789,51.29999923706055,66.0199966430664,3258.43994140625,3484.550048828125,3351.60009765625,3310.110107421875,3841.469970703125
62,62,2020-07-13,CCX,"Churchill Capital Corp III Class A Common Stock, par Value $0.0001 per Share",purchase,"$1,001 - $15,000",Susie Lee,1594612800,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,11.010000228881836,10.5600004196167,10.729999542236328,10.0,10.5,3155.219970703125,3333.68994140625,3339.18994140625,3511.929931640625,3824.679931640625
63,63,2020-07-16,DELL,Dell Technologies Inc. Class C,sale_partial,"$1,001 - $15,000",Susie Lee,1594872000,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,59.099998474121094,59.90999984741211,67.0999984741211,70.1500015258789,75.62999725341797,3215.570068359375,3372.85009765625,3401.199951171875,3483.81005859375,3799.610107421875
64,64,2020-07-08,GGT,"Gabelli Multi-Media Trust, Inc.",sale_full,"$15,001 - $50,000",Susie Lee,1594180800,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,6.480000019073486,7.010000228881836,7.139999866485596,6.75,7.960000038146973,3169.93994140625,3349.159912109375,3426.9599609375,3446.830078125,3756.070068359375
65,65,2020-07-08,MAR,Marriott International - Class A,sale_full,"$15,001 - $50,000",Susie Lee,1594180800,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,89.98999786376953,90.38999938964844,104.81999969482422,100.30999755859375,131.9199981689453,3169.93994140625,3349.159912109375,3426.9599609375,3446.830078125,3756.070068359375
66,66,2020-07-15,NMIH,NMI Holdings Inc,sale_full,"$1,001 - $15,000",Susie Lee,1594785600,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,15.1899995803833,16.600000381469727,18.829999923706055,23.110000610351562,24.1299991607666,3226.56005859375,3373.429931640625,3383.5400390625,3483.340087890625,3824.679931640625
