people,state,party,senate_years,house_years
"Masto, Cortez, Catherine",Nevada,Democratic,2017-Present,0
"Jon Corzine, S.",New Jersey,Democratic,2001-2006,0
"Jim Costa, ",California,Democratic,0,2005-Present
"Jerry Costello, F.",Illinois,Democratic,0,1987-2013
"Ryan Costello, A.",Pennsylvania,Republican,0,2015-2019
"William Cotter, R.",Connecticut,Democratic,0,1971-1983
"Norris Cotton, ",New Hampshire,Republican,1953-1977,1947-1953
"Tom Cotton, ",Arkansas,Republican,2015-Present,2013-2015
"Lawrence Coughlin, ",Pennsylvania,Republican,0,1969-1993
"Jim Courter, ",New Jersey,Republican,0,1979-1991
"Joe Courtney, ",Connecticut,Democratic,0,2007-Present
"Paul Coverdell, ",Georgia,Republican,1993-2000,0
"William Cowan, M.",Massachusetts,Democratic,2013,0
"Christopher Cox, ",California,Republican,0,1989-2007
"John Cox, ",Illinois,Democratic,0,1991-1993
"TJ Cox, ",California,Democratic,0,2019-2021
"James Coyne, K.",Pennsylvania,Republican,0,1981-1983
"William Coyne, J.",Pennsylvania,Democratic,0,1981-2003
"Angie Craig, ",Minnesota,Democratic,0,2019-Present
"Larry Craig, E.",Idaho,Republican,1991-2009,1981-1991
"Kevin Cramer, ",North Dakota,Republican,2019-Present,2013-2019
"Robert Cramer, ",Alabama,Democratic,0,1991-2009
"Daniel Crane, B.",Illinois,Republican,0,1979-1985
"Philip Crane, M.",Illinois,Republican,0,1969-2005
"Alan Cranston, ",California,Democratic,1969-1993,0
"Mike Crapo, ",Idaho,Republican,1999-Present,1993-1999
"Chip Cravaack, ",Minnesota,Republican,0,2011-2013
"Eric Crawford, ",Arkansas,Republican,0,2011-Present
"Frank Cremeans, A.",Ohio,Republican,0,1995-1997
"Ander Crenshaw, ",Florida,Republican,0,2001-2017
"Dan Crenshaw, ",Texas,Republican,0,2019-Present
"Charlie Crist, ",Florida,Democratic,0,2017-Present
"Mark Critz, S.",Pennsylvania,Democratic,0,2010-2013
"George Crockett, ",Michigan,Democratic,0,1979-1991
"Paul Cronin, W.",Massachusetts,Republican,0,1973-1975
"Jason Crow, ",Colorado,Democratic,0,2019-Present
"Joseph Crowley, ",New York,Democratic,0,1999-2019
"Ted Cruz, ",Texas,Republican,2013-Present,0
"Barbara Cubin, ",Wyoming,Republican,0,1995-2009
"Henry Cuellar, ",Texas,Democratic,0,2005-Present
"John Culberson, Abney",Texas,Republican,0,2001-2019
"John Culver, C.",Iowa,Democratic,1975-1981,1965-1975
"Elijah Cummings, E.",Maryland,Democratic,0,1995-2019
"Joe Cunningham, ",South Carolina,Democratic,0,2019-2021
"John Cunningham, ",Washington,Republican,0,1977-1979
"Randy Cunningham, (Duke)",California,Republican,0,1991-2007
"Carlos Curbelo, ",Florida,Republican,0,2015-2019
"David Curson, Alan",Michigan,Democratic,0,2012-2013
"Carl Curtis, T.",Nebraska,Republican,1955-1979,1939-1955
"John Curtis, R.",Utah,Republican,0,2017-Present
"Alfonse D'Amato, ",New York,Republican,1981-1999,0
"Norman D'Amours, E.",New Hampshire,Democratic,0,1975-1985
"Kathleen Dahlkemper, A.",Pennsylvania,Democratic,0,2009-2011
"Steve Daines, ",Montana,Republican,2015-Present,2013-2015
"John Danforth, C.",Missouri,Republican,1977-1995,0
"Robert Daniel, ",Virginia,Republican,0,1973-1983
"W. Daniel, ",Virginia,Democratic,0,1969-1989
"Dominick Daniels, V.",New Jersey,Democratic,0,1959-1977
"George Danielson, E.",California,Democratic,0,1971-1983
"William Dannemeyer, E.",California,Republican,0,1979-1993
"Pat Danner, ",Missouri,Democratic,0,1993-2001
"George Darden, (Buddy)",Georgia,Democratic,0,1983-1995
"Thomas Daschle, A.",South Dakota,Democratic,1987-2005,1979-1987
"Hal Daub, ",Nebraska,Republican,0,1981-1989
"Sharice Davids, ",Kansas,Democratic,0,2019-Present
"Warren Davidson, ",Ohio,Republican,0,2016-Present
"Artur Davis, ",Alabama,Democratic,0,2003-2011
"Danny Davis, K.",Illinois,Democratic,0,1997-Present
"David Davis, ",Tennessee,Republican,0,2007-2009
"Geoff Davis, ",Kentucky,Republican,0,2005-2012
"Glenn Davis, R.",Wisconsin,Republican,0,"1947-1957,"
"Jack Davis, ",Illinois,Republican,0,1987-1989
"Jim Davis, ",Florida,Democratic,0,1997-2007
"Jo Davis, Ann",Virginia,Republican,0,2001-2007
"John Davis, W.",Georgia,Democratic,0,1961-1975
"Lincoln Davis, ",Tennessee,Democratic,0,2003-2011
"Mendel Davis, J.",South Carolina,Democratic,0,1971-1981
"Robert Davis, W.",Michigan,Republican,0,1979-1993
"Rodney Davis, ",Illinois,Republican,0,2013-Present
"Susan Davis, A.",California,Democratic,0,2001-2021
"Tom Davis, ",Virginia,Republican,0,1995-2008
"Mark Dayton, ",Minnesota,Democratic,2001-2007,0
"la de, ",Texas,Democratic,0,1965-1997
"Lugo, de, Ron",Virgin Islands,Democratic,0,"1973-1979,"
"Nathan Deal, ",Georgia,Republican,0,1993-2010
"Madeleine Dean, ",Pennsylvania,Democratic,0,2019-Present
"Joel Deckard, ",Indiana,Republican,0,1979-1983
"Dennis DeConcini, ",Arizona,Democratic,1977-1995,0
"Peter DeFazio, A.",Oregon,Democratic,0,1987-Present
"Diana DeGette, ",Colorado,Democratic,0,1997-Present
"Bill Delahunt, ",Massachusetts,Democratic,0,1997-2011
"James Delaney, J.",New York,Democratic,0,1945-1979
"John Delaney, K.",Maryland,Democratic,0,2013-2019
"Rosa DeLauro, L.",Connecticut,Democratic,0,1991-Present
"Tom DeLay, ",Texas,Republican,0,1985-2007
"Suzan DelBene, K.",Washington,Democratic,0,2012-Present
"Antonio Delgado, ",New York,Democratic,0,2019-Present
"John Dellenback, ",Oregon,Republican,0,1967-1975
"Ronald Dellums, V.",California,Democratic,0,1971-1999
"Val Demings, Butler",Florida,Democratic,0,2017-Present
"Jim DeMint, ",South Carolina,Republican,2005-2012,1999-2005
"Lawrence DeNardis, J.",Connecticut,Republican,0,1981-1983
"Jeff Denham, ",California,Republican,0,2011-2019
"Frank Denholm, E.",South Dakota,Democratic,0,1971-1975
"David Dennis, W.",Indiana,Republican,0,1969-1975
"Charles Dent, W.",Pennsylvania,Republican,0,2005-2018
"John Dent, H.",Pennsylvania,Democratic,0,1957-1979
"Jeremiah Denton, ",Alabama,Republican,1981-1987,0
"Butler Derrick, C.",South Carolina,Democratic,0,1975-1995
"Edward Derwinski, J.",Illinois,Republican,0,1959-1983
"Ron DeSantis, ",Florida,Republican,0,2013-2018
"Mark DeSaulnier, ",California,Democratic,0,2015-Present
"Scott DesJarlais, ",Tennessee,Republican,0,2011-Present
"Theodore Deutch, E.",Florida,Democratic,0,2010-Present
"Peter Deutsch, ",Florida,Democratic,0,1993-2005
"Samuel Devine, L.",Ohio,Republican,0,1959-1981
"Mike DeWine, ",Ohio,Republican,1995-2007,1983-1991
"Lincoln Diaz-Balart, ",Florida,Republican,0,1993-2011
"Mario Diaz-Balart, ",Florida,Republican,0,2003-Present
"Jay Dickey, ",Arkansas,Republican,0,1993-2001
"William Dickinson, L.",Alabama,Republican,0,1965-1993
"Norman Dicks, D.",Washington,Democratic,0,1977-2013
"Charles Diggs, ",Michigan,Democratic,0,1955-1981
"Debbie Dingell, ",Michigan,Democratic,0,2015-Present
"John Dingell, D.",Michigan,Democratic,0,1955-2015
"Joseph DioGuardi, J.",New York,Republican,0,1985-1989
"Alan Dixon, J.",Illinois,Democratic,1981-1993,0
"Julian Dixon, C.",California,Democratic,0,1979-2003
"Charles Djou, K.",Hawaii,Republican,0,2010-2011
"Christopher Dodd, J.",Connecticut,Democratic,1981-2011,1975-1981
"Lloyd Doggett, ",Texas,Democratic,0,1995-Present
"Robert Dold, J.",Illinois,Republican,0,"2011-2013,"
"Elizabeth Dole, ",North Carolina,Republican,2003-2009,0
"Robert Dole, J.",Kansas,Republican,1969-1997,1961-1969
"Pete Domenici, V.",New Mexico,Republican,1973-2009,0
"Peter Dominick, H.",Colorado,Republican,1973-1975,1961-1963
"Byron Donalds, ",Florida,Republican,0,2021-Present
"Brian Donnelly, J.",Massachusetts,Democratic,0,1979-1993
"Joe Donnelly, ",Indiana,Democratic,2013-2019,2007-2013
"Harold Donohue, D.",Massachusetts,Democratic,0,1947-1975
"Daniel Donovan, ",New York,Republican,0,2015-2019
"Calvin Dooley, M.",California,Democratic,0,1991-2005
"John Doolittle, T.",California,Republican,0,1991-2009
"Byron Dorgan, L.",North Dakota,Democratic,1991-2011,1981-1993
"William Dorn, ",South Carolina,Democratic,0,"1947-1949,"
"Robert Dornan, K.",California,Republican,0,"1977-1983,"
"Charles Dougherty, F.",Pennsylvania,Republican,0,1979-1983
"Chuck Douglas, ",New Hampshire,Republican,0,1989-1991
"Wayne Dowdy, ",Mississippi,Democratic,0,1981-1989
"Thomas Downey, J.",New York,Democratic,0,1975-1993
"Thomas Downing, N.",Virginia,Democratic,0,1959-1977
"Michael Doyle, F.",Pennsylvania,Democratic,0,1995-Present
"Thelma Drake, D.",Virginia,Republican,0,2005-2009
"David Dreier, ",California,Republican,0,1981-2013
"Steve Driehaus, ",Ohio,Democratic,0,2009-2011
"Robert Drinan, F.",Massachusetts,Democratic,0,1971-1981
"Pont, du, ",Delaware,Republican,0,1971-1977
"Tammy Duckworth, ",Illinois,Democratic,2017-Present,2013-2017
"Sean Duffy, P.",Wisconsin,Republican,0,2011-2019
"Thaddeus Dulski, J.",New York,Democratic,0,1959-1975
"Jeff Duncan, ",South Carolina,Republican,0,2011-Present
"John Duncan, J.",Tennessee,Republican,0,1965-1989
"John Duncan, ",Tennessee,Republican,0,1987-2019
"Robert Duncan, B.",Oregon,Democratic,0,"1963-1967,"
"Jennifer Dunn, ",Washington,Republican,0,1993-2005
"Jim Dunn, ",Michigan,Republican,0,1981-1983
"Neal Dunn, P.",Florida,Republican,0,2017-Present
"Richard Durbin, J.",Illinois,Democratic,1997-Present,1983-1997
"Dave Durenberger, ",Minnesota,Republican,1977-1995,0
"John Durkin, A.",New Hampshire,Democratic,1975-1981,0
"Bernard Dwyer, J.",New Jersey,Democratic,0,1981-1993
"Mervyn Dymally, M.",California,Democratic,0,1981-1993
"Roy Dyson, ",Maryland,Democratic,0,1981-1991
"Thomas Eagleton, F.",Missouri,Democratic,1967-1987,0
"Joseph Early, D.",Massachusetts,Democratic,0,1975-1993
"John East, P.",North Carolina,Republican,1981-1987,0
"James Eastland, O.",Mississippi,Democratic,1941-1979,0
"Dennis Eckart, E.",Ohio,Democratic,0,1981-1993
"Fred Eckert, J.",New York,Republican,0,1985-1987
"Bob Eckhardt, ",Texas,Democratic,0,1967-1981
"Robert Edgar, W.",Pennsylvania,Democratic,0,1975-1987
"Chet Edwards, ",Texas,Democratic,0,1991-2011
"Don Edwards, ",California,Democratic,0,1963-1995
"Donna Edwards, F.",Maryland,Democratic,0,2008-2017
"Jack Edwards, ",Alabama,Republican,0,1965-1985
"John Edwards, ",North Carolina,Democratic,1999-2005,0
"Mickey Edwards, ",Oklahoma,Republican,0,1977-1993
"Vernon Ehlers, J.",Michigan,Republican,0,1993-2011
"Robert Ehrlich, ",Maryland,Republican,0,1995-2003
"Joshua Eilberg, ",Pennsylvania,Democratic,0,1967-1979
"Keith Ellison, ",Minnesota,Democratic,0,2007-2019
"Renee Ellmers, L.",North Carolina,Republican,0,2011-2017
"Brad Ellsworth, ",Indiana,Democratic,0,2007-2011
"Rahm Emanuel, ",Illinois,Democratic,0,2003-2009
"Bill Emerson, ",Missouri,Republican,0,1981-1997
"Jo Emerson, Ann",Missouri,Republican,0,1997-2013
"David Emery, F.",Maine,Republican,0,1975-1983
"Tom Emmer, ",Minnesota,Republican,0,2015-Present
"Eliot Engel, L.",New York,Democratic,0,1989-2021
"Glenn English, ",Oklahoma,Democratic,0,1975-1995
"Karan English, ",Arizona,Democratic,0,1993-1995
"Phil English, ",Pennsylvania,Republican,0,1995-2009
"John Ensign, ",Nevada,Republican,2001-2011,1995-1999
"William Enyart, L.",Illinois,Democratic,0,2013-2015
"Michael Enzi, B.",Wyoming,Republican,1997-2021,0
"Arlen Erdahl, ",Minnesota,Republican,0,1979-1983
"Ben Erdreich, ",Alabama,Democratic,0,1983-1993
"John Erlenborn, N.",Illinois,Republican,0,1965-1985
"Joni Ernst, ",Iowa,Republican,2015-Present,0
"Allen Ertel, E.",Pennsylvania,Democratic,0,1977-1983
"Sam Ervin, ",North Carolina,Democratic,1973-1975,1945-1947
"Marvin Esch, L.",Michigan,Republican,0,1967-1977
"Veronica Escobar, ",Texas,Democratic,0,2019-Present
"Edwin Eshleman, D.",Pennsylvania,Republican,0,1967-1977
"Anna Eshoo, G.",California,Democratic,0,1993-Present
"Adriano Espaillat, ",New York,Democratic,0,2017-Present
"Mike Espy, ",Mississippi,Democratic,0,1987-1995
"Ron Estes, ",Kansas,Republican,0,2017-Present
"Elizabeth Esty, H.",Connecticut,Democratic,0,2013-2019
"Bob Etheridge, ",North Carolina,Democratic,0,1997-2011
"Billy Evans, Lee",Georgia,Democratic,0,1977-1983
"Cooper Evans, ",Iowa,Republican,0,1981-1987
"Daniel Evans, J.",Washington,Republican,1983-1989,0
"David Evans, W.",Indiana,Democratic,0,1975-1983
"Dwight Evans, ",Pennsylvania,Democratic,0,2016-Present
"Frank Evans, E.",Colorado,Democratic,0,1965-1979
"Lane Evans, ",Illinois,Democratic,0,1983-2007
"Melvin Evans, H.",Virgin Islands,Republican,0,1979-1981
"Thomas Evans, ",Delaware,Republican,0,1977-1983
"Terry Everett, ",Alabama,Republican,0,1993-2009
"Joe Evins, L.",Tennessee,Democratic,0,1947-1977
"Thomas Ewing, W.",Illinois,Republican,0,1991-2001
"J. Exon, James",Nebraska,Democratic,1979-1997,0
"Lauch Faircloth, ",North Carolina,Republican,1993-1999,0
"Eni Faleomavaega, ",American Samoa,Democratic,0,1989-2015
"Mary Fallin, ",Oklahoma,Republican,0,2007-2011
"Pat Fallon, ",Texas,Republican,0,2021-Present
"Paul Fannin, J.",Arizona,Republican,1965-1977,0
"Blake Farenthold, ",Texas,Republican,0,2011-2018
"Sam Farr, ",California,Democratic,0,1993-2017
"John Fary, G.",Illinois,Democratic,0,1975-1983
"Dante Fascell, B.",Florida,Democratic,0,1955-1993
"John Faso, J.",New York,Republican,0,2017-2019
"Chaka Fattah, ",Pennsylvania,Democratic,0,1995-2016
"Walter Fauntroy, E.",District of Columbia,Democratic,0,1971-1991
"Harris Fawell, W.",Illinois,Republican,0,1985-1999
"Vic Fazio, ",California,Democratic,0,1979-1999
"Tom Feeney, ",Florida,Republican,0,2003-2009
"Randy Feenstra, ",Iowa,Republican,0,2021-Present
"Edward Feighan, F.",Ohio,Democratic,0,1983-1993
"Russell Feingold, D.",Wisconsin,Democratic,1993-2011,0
"Dianne Feinstein, ",California,Democratic,1992-Present,0
"Millicent Fenwick, H.",New Jersey,Republican,0,1975-1983
"A. Ferguson, ",Georgia,Republican,0,2017-Present
"Mike Ferguson, ",New Jersey,Republican,0,2001-2009
"Geraldine Ferraro, A.",New York,Democratic,0,1979-1985
"Bobbi Fiedler, ",California,Republican,0,1981-1987
"Cleo Fields, ",Louisiana,Democratic,0,1993-1997
"Jack Fields, ",Texas,Republican,0,1981-1997
"Bob Filner, ",California,Democratic,0,1993-2013
"Stephen Fincher, Lee",Tennessee,Republican,0,2011-2017
"Paul Findley, ",Illinois,Republican,0,1961-1983
"Eric Fingerhut, D.",Ohio,Democratic,0,1993-1995
"Abby Finkenauer, ",Iowa,Democratic,0,2019-2021
"Michelle Fischbach, ",Minnesota,Republican,0,2021-Present
"Deb Fischer, ",Nebraska,Republican,2013-Present,0
"Hamilton, Fish, Jr.",New York,Republican,0,1969-1995
"Joesph Fisher, L.",Virginia,Democratic,0,1975-1981
"O. Fisher, C.",Texas,Democratic,0,1943-1975
"Floyd Fithian, J.",Indiana,Democratic,0,1975-1983
"Peter Fitzgerald, ",Illinois,Republican,1999-2005,0
"Scott Fitzgerald, ",Wisconsin,Republican,0,2021-Present
"Brian Fitzpatrick, K.",Pennsylvania,Republican,0,2017-Present
"Michael Fitzpatrick, G.",Pennsylvania,Republican,0,"2005-2007,"
"Floyd Flake, H.",New York,Democratic,0,1987-1999
"Jeff Flake, ",Arizona,Republican,2013-2019,2001-2013
"Michael Flanagan, Patrick",Illinois,Republican,0,1995-1997
"Charles Fleischmann, ",Tennessee,Republican,0,2011-Present
"John Fleming, ",Louisiana,Republican,0,2009-2017
"Ernie Fletcher, ",Kentucky,Republican,0,1999-2003
"Lizzie Fletcher, ",Texas,Democratic,0,2019-Present
"Ronnie Flippo, G.",Alabama,Democratic,0,1977-1991
"Daniel Flood, J.",Pennsylvania,Democratic,0,"1945-1947,"
"Bill Flores, ",Texas,Republican,0,2011-2021
"James Florio, J.",New Jersey,Democratic,0,1975-1991
"Walter Flowers, ",Alabama,Democratic,0,1969-1979
"John Flynt, ",Georgia,Democratic,0,1953-1979
"Thomas Foglietta, M.",Pennsylvania,Democratic,0,1981-1999
"Mark Foley, ",Florida,Republican,0,1995-2007
"Thomas Foley, S.",Washington,Democratic,0,1965-1995
"Hiram Fong, L.",Hawaii,Republican,1959-1977,0
"J. Forbes, Randy",Virginia,Republican,0,2001-2017
"Michael Forbes, P.",New York,Democratic,0,1995-2001
"Gerald Ford, ",Michigan,Republican,0,1949-1975
"Harold Ford, E.",Tennessee,Democratic,0,1975-1997
"Harold Ford, ",Tennessee,Democratic,0,1997-2007
"Wendell Ford, H.",Kentucky,Democratic,1975-1999,0
"William Ford, D.",Michigan,Democratic,0,1965-1995
"Edwin Forsythe, B.",New Jersey,Republican,0,1969-1985
"Jeff Fortenberry, ",Nebraska,Republican,0,2005-Present
"Fortuno, Commissioner, ",Puerto Rico,Republican,0,2005-2009
"Vito Fossella, ",New York,Republican,0,1997-2009
"Bill Foster, ",Illinois,Democratic,0,"2008-2011,"
"L. Fountain, H.",North Carolina,Democratic,0,1953-1983
"Tillie Fowler, ",Florida,Republican,0,1993-2001
"Wyche, Fowler, Jr.",Georgia,Democratic,1987-1993,1977-1987
"Jon Fox, D.",Pennsylvania,Republican,0,1995-1999
"Virginia Foxx, ",North Carolina,Republican,0,2005-Present
"Sheila Frahm, ",Kansas,Republican,1995-1997,0
"Barney Frank, ",Massachusetts,Democratic,0,1981-2013
"Lois Frankel, ",Florida,Democratic,0,2013-Present
"Al Franken, ",Minnesota,Democratic,2009-2018,0
"C. Franklin, Scott",Florida,Republican,0,2021-Present
"William Franklin, W.",Mississippi,Republican,0,1983-1987
"Bob Franks, ",New Jersey,Republican,0,1993-2001
"Gary Franks, A.",Connecticut,Republican,0,1991-1997
"Trent Franks, ",Arizona,Republican,0,2003-2017
"Donald Fraser, M.",Minnesota,Democratic,0,1963-1979
"Victor Frazer, O.",Virgin Islands,Independent,0,1995-1997
"Peter Frelinghuysen, ",New Jersey,Republican,0,1953-1975
"Rodney Frelinghuysen, P.",New Jersey,Republican,0,1995-2019
"Bill Frenzel, ",Minnesota,Republican,0,1971-1991
"Lou, Frey, Jr.",Florida,Republican,0,1969-1979
"Dan Frisa, ",New York,Republican,0,1995-1997
"William Frist, H.",Tennessee,Republican,1995-2007,0
"Harold Froehlich, V.",Wisconsin,Republican,0,1973-1975
"Martin Frost, ",Texas,Democratic,0,1979-2005
"Marcia Fudge, L.",Ohio,Democratic,0,2008-2021
"James Fulbright, ",Arkansas,Democratic,"1945-1947,",1943-1945
"Russ Fulcher, ",Idaho,Republican,0,2019-Present
"Richard Fulton, ",Tennessee,Democratic,0,1963-1977
"David Funderburk, ",North Carolina,Republican,0,1995-1997
"Don Fuqua, ",Florida,Democratic,0,1963-1987
"Elizabeth Furse, ",Oregon,Democratic,0,1993-1999
"Fuster, Commissioner, ",Puerto Rico,Democratic,0,1985-1993
"Tulsi Gabbard, ",Hawaii,Democratic,0,2013-2021
"Matt Gaetz, ",Florida,Republican,0,2017-Present
"Mike Gallagher, ",Wisconsin,Republican,0,2017-Present
"Elton Gallegly, ",California,Republican,0,1987-2013
"Pete Gallego, P.",Texas,Democratic,0,2013-2015
"Ruben Gallego, ",Arizona,Democratic,0,2015-Present
"Dean Gallo, A.",New Jersey,Republican,0,1985-1995
"Robert Gammage, A.",Texas,Democratic,0,1977-1979
"Greg Ganske, ",Iowa,Republican,0,1995-2003
"John Garamendi, ",California,Democratic,0,2009-Present
"Andrew Garbarino, R.",New York,Republican,0,2021-Present
"Jesus Garcia, ",Illinois,Democratic,0,2019-Present
"Joe Garcia, ",Florida,Democratic,0,2013-2015
"Mike Garcia, ",California,Republican,0,2020-Present
"Robert Garcia, ",New York,Democratic,0,1977-1991
"Sylvia Garcia, R.",Texas,Democratic,0,2019-Present
"Cory Gardner, ",Colorado,Republican,2015-2021,2011-2015
"E. Garn, ",Utah,Republican,1975-1993,0
"Scott Garrett, ",New Jersey,Republican,0,2003-2017
"Thomas Garrett, ",Virginia,Republican,0,2017-2019
"Joseph Gaydos, M.",Pennsylvania,Democratic,0,1967-1993
"Sam Gejdenson, ",Connecticut,Democratic,0,1981-2001
"George Gekas, W.",Pennsylvania,Republican,0,1983-2003
"Richard Gephardt, A.",Missouri,Democratic,0,1977-2005
"Pete Geren, ",Texas,Democratic,0,1989-1997
"Jim Gerlach, ",Pennsylvania,Republican,0,2003-2015
"Tom Gettys, S.",South Carolina,Democratic,0,1963-1975
"Robert Giaimo, N.",Connecticut,Democratic,0,1959-1981
"Greg Gianforte, ",Montana,Republican,0,2017-2021
"Jim Gibbons, ",Nevada,Republican,0,1997-2007
"Sam Gibbons, ",Florida,Democratic,0,1963-1997
"Bob Gibbs, ",Ohio,Republican,0,2011-Present
"Christopher Gibson, P.",New York,Republican,0,2011-2017
"Gabrielle Giffords, ",Arizona,Democratic,0,2007-2012
"Wayne Gilchrest, T.",Maryland,Republican,0,1991-2009
"Kirsten Gillibrand, E.",New York,Democratic,2009-Present,2007-2009
"Paul Gillmor, E.",Ohio,Republican,0,1989-2007
"Benjamin Gilman, A.",New York,Republican,0,1973-2003
"Carlos Gimenez, A.",Florida,Republican,0,2021-Present
"Phil Gingrey, ",Georgia,Republican,0,2003-2015
"Newt Gingrich, ",Georgia,Republican,0,1979-1999
"Bo Ginn, ",Georgia,Democratic,0,1973-1983
"John Glenn, ",Ohio,Democratic,1975-1999,0
"Dan Glickman, ",Kansas,Democratic,0,1977-1995
"Louie Gohmert, ",Texas,Republican,0,2005-Present
"Jared Golden, F.",Maine,Democratic,0,2019-Present
"Barry Goldwater, ",Arizona,Republican,"1953-1965,",0
"Barry, Goldwater, Jr.",California,Republican,0,1969-1983
"Jimmy Gomez, ",California,Democratic,0,2017-Present
"Tony Gonzales, ",Texas,Republican,0,2021-Present
"Anthony Gonzalez, ",Ohio,Republican,0,2019-Present
"Charles Gonzalez, A.",Texas,Democratic,0,1999-2013
"Henry Gonzalez, B.",Texas,Democratic,0,1961-1999
"Vicente Gonzalez, ",Texas,Democratic,0,2017-Present
"Gonzalez-Colon, Commissioner, Jenniffer",Puerto Rico,Republican,0,2017-Present
"Bob Good, ",Virginia,Republican,0,2021-Present
"Virgil Goode, ",Virginia,Republican,0,1997-2009
"Lance Gooden, ",Texas,Republican,0,2019-Present
"Bob Goodlatte, ",Virginia,Republican,0,1993-2019
"George Goodling, A.",Pennsylvania,Republican,0,"1961-1965,"
"William Goodling, F.",Pennsylvania,Republican,0,1975-2001
"Carte Goodwin, Patrick",West Virginia,Democratic,2010,0
"Bart Gordon, ",Tennessee,Democratic,0,1985-2011
"Albert, Gore, Jr.",Tennessee,Democratic,1985-1993,1977-1985
"Slade Gorton, ",Washington,Republican,"1981-1987,",0
"Paul Gosar, A.",Arizona,Republican,0,2011-Present
"Porter Goss, J.",Florida,Republican,0,1989-2004
"Josh Gottheimer, ",New Jersey,Democratic,0,2017-Present
"Trey Gowdy, ",South Carolina,Republican,0,2011-2019
"Willis Gradison, ",Ohio,Republican,0,1975-1995
"Bob Graham, ",Florida,Democratic,1987-2005,0
"Gwen Graham, ",Florida,Democratic,0,2015-2017
"Lindsey Graham, ",South Carolina,Republican,2003-Present,1995-2003
"Phil Gramm, ",Texas,Republican,1985-2002,1979-1985
"Rod Grams, ",Minnesota,Republican,1995-2001,1993-1995
"Fred Grandy, ",Iowa,Republican,0,1987-1995
"Kay Granger, ",Texas,Republican,0,1997-Present
"Bill Grant, ",Florida,Republican,0,1987-1991
"Chuck Grassley, ",Iowa,Republican,1981-Present,1975-1981
"Ella Grasso, T.",Connecticut,Democratic,0,1971-1975
"Mike Gravel, ",Alaska,Democratic,1969-1981,0
"Garret Graves, ",Louisiana,Republican,0,2015-Present
"Sam Graves, ",Missouri,Republican,0,2001-Present
"Tom Graves, ",Georgia,Republican,0,2010-2020
"Kenneth Gray, J.",Illinois,Democratic,0,"1955-1975,"
"William Gray, ",Pennsylvania,Democratic,0,1979-1993
"Alan Grayson, ",Florida,Democratic,0,"2009-2011,"
"Al Green, ",Texas,Democratic,0,2005-Present
"Edith Green, ",Oregon,Democratic,0,1955-1975
"Gene Green, ",Texas,Democratic,0,1993-2019
"Mark Green, ",Wisconsin,Republican,0,1999-2007
"Mark Green, E.",Tennessee,Republican,0,2019-Present
"S. Green, William",New York,Republican,0,1977-1993
"William Green, J.",Pennsylvania,Democratic,0,1963-1977
"Marjorie Greene, Taylor",Georgia,Republican,0,2021-Present
"James Greenwood, C.",Pennsylvania,Republican,0,1993-2005
"Judd Gregg, ",New Hampshire,Republican,1993-2011,1981-1989
"Robert Griffin, P.",Michigan,Republican,1973-1979,1957-1965
"Tim Griffin, ",Arkansas,Republican,0,2011-2015
"H. Griffith, Morgan",Virginia,Republican,0,2011-Present
"Parker Griffith, ",Alabama,Republican,0,2009-2011
"Martha Griffiths, W.",Michigan,Democratic,0,1955-1975
"Raul Grijalva, M.",Arizona,Democratic,0,2003-Present
"Michael Grimm, G.",New York,Republican,0,2011-2015
"Wayne Grisham, R.",California,Republican,0,1979-1983
"H. Gross, R.",Iowa,Republican,0,1949-1975
"John Grotberg, E.",Illinois,Republican,0,1985-1987
"Glenn Grothman, ",Wisconsin,Republican,0,2015-Present
"James Grover, ",New York,Republican,0,1963-1975
"Felix Grucci, ",New York,Republican,0,2001-2003
"Frank Guarini, J.",New Jersey,Democratic,0,1979-1993
"Charles Gubser, S.",California,Republican,0,1953-1975
"Gilbert Gude, ",Maryland,Republican,0,1967-1977
"V. Gudger, Lamar",North Carolina,Democratic,0,1977-1981
"Michael Guest, ",Mississippi,Republican,0,2019-Present
"Frank Guinta, C.",New Hampshire,Republican,0,"2011-2013,"
"Steve Gunderson, ",Wisconsin,Republican,0,1981-1997
"Bill Gunter, ",Florida,Democratic,0,1973-1975
"Edward Gurney, J.",Florida,Republican,1973-1975,1963-1969
"Brett Guthrie, ",Kentucky,Republican,0,2009-Present
"Luis Gutierrez, V.",Illinois,Democratic,0,1993-2019
"Gil Gutknecht, ",Minnesota,Republican,0,1995-2007
"Tennyson Guyer, ",Ohio,Republican,0,1973-1983
"Debra Haaland, A.",New Mexico,Democratic,0,2019-2021
"Kay Hagan, R.",North Carolina,Democratic,2009-2015,0
"Jim Hagedorn, ",Minnesota,Republican,0,2019-Present
"Thomas Hagedorn, M.",Minnesota,Republican,0,1975-1983
"Chuck Hagel, ",Nebraska,Republican,1997-2009,0
"Bill Hagerty, ",Tennessee,Republican,2021-Present,0
"Janice Hahn, ",California,Democratic,0,2011-2017
"James Haley, A.",Florida,Democratic,0,1953-1977
"John Hall, J.",New York,Democratic,0,2007-2011
"Katie Hall, ",Indiana,Democratic,0,1981-1985
"Kwanza Hall, ",Georgia,Democratic,0,2020-2021
"Ralph Hall, M.",Texas,Republican,0,1981-2015
"Sam Hall, ",Texas,Democratic,0,1975-1987
