people,state,party,senate_years,house_years
"Thomas Barrett, M.",Wisconsin,Democratic,0,1993-2003
"William Barrett, A.",Pennsylvania,Democratic,0,"1945-1947,"
"John Barrow, ",Georgia,Democratic,0,2005-2015
"Dewey Bartlett, F.",Oklahoma,Republican,1973-1979,0
"Roscoe Bartlett, G.",Maryland,Republican,0,1993-2013
"Steve Bartlett, ",Texas,Republican,0,1983-1993
"Joe Barton, ",Texas,Republican,0,1985-2019
"Charles Bass, F.",New Hampshire,Republican,0,"1995-2007,"
"Karen Bass, ",California,Democratic,0,2011-Present
"Herbert Bateman, H.",Virginia,Republican,0,1983-2001
"Jim Bates, ",California,Democratic,0,1983-1991
"Max Baucus, ",Montana,Democratic,1979-2014,1975-1979
"Robert Bauman, E.",Maryland,Republican,0,1973-1981
"Birch Bayh, ",Indiana,Democratic,1963-1981,0
"Evan Bayh, ",Indiana,Democratic,1999-2011,0
"J. Beall, ",Maryland,Republican,1973-1977,1969-1971
"Melissa Bean, L.",Illinois,Democratic,0,2005-2011
"Edward Beard, ",Rhode Island,Democratic,0,1975-1981
"Robin Beard, ",Tennessee,Republican,0,1973-1983
"Joyce Beatty, ",Ohio,Democratic,0,2013-Present
"Bob Beauprez, ",Colorado,Republican,0,2003-2007
"Xavier Becerra, ",California,Democratic,0,1993-2017
"Berkley Bedell, W.",Iowa,Democratic,0,1975-1987
"Mark Begich, ",Alaska,Democratic,2009-2015,0
"Anthony Beilenson, C.",California,Democratic,0,1977-1997
"Alphonzo Bell, ",California,Republican,0,1961-1977
"Chris Bell, ",Texas,Democratic,0,2003-2005
"Henry Bellmon, L.",Oklahoma,Republican,1969-1981,0
"Cleve Benedict, ",West Virginia,Republican,0,1981-1983
"Dan Benishek, ",Michigan,Republican,0,2011-2017
"Benitez, Commissioner, Jamie",Puerto Rico,Democratic,0,1973-1977
"Adam, Benjamin, Jr.",Indiana,Democratic,0,1977-1983
"Michael Bennet, F.",Colorado,Democratic,2009-Present,0
"Charles Bennett, E.",Florida,Democratic,0,1949-1993
"Robert Bennett, F.",Utah,Republican,1993-2011,0
"Wallace Bennett, F.",Utah,Republican,1951-1975,0
"Kerry Bentivolio, L.",Michigan,Republican,0,2013-2015
"Helen Bentley, Delich",Maryland,Republican,0,1985-1995
"Ken Bentsen, ",Texas,Democratic,0,1995-2003
"Lloyd Bentsen, M.",Texas,Democratic,1971-1993,1947-1955
"Cliff Bentz, ",Oregon,Republican,0,2021-Present
"Ami Bera, ",California,Democratic,0,2013-Present
"Doug Bereuter, ",Nebraska,Republican,0,1979-2004
"Rick Berg, ",North Dakota,Republican,0,2011-2013
"Bob Bergland, ",Minnesota,Republican,0,1971-1979
"Jack Bergman, ",Michigan,Republican,0,2017-Present
"Shelley Berkley, ",Nevada,Democratic,0,1999-2013
"Howard Berman, L.",California,Democratic,0,1983-2013
"Marion Berry, ",Arkansas,Democratic,0,1997-2011
"Ed Bethune, ",Arkansas,Republican,0,1979-1985
"Tom Bevill, ",Alabama,Democratic,0,1967-1997
"Donald Beyer, ",Virginia,Democratic,0,2015-Present
"Mario Biaggi, ",New York,Democratic,0,1969-1989
"Alan Bible, ",Nevada,Democratic,1953-1975,0
"Stephanie Bice, I.",Oklahoma,Republican,0,2021-Present
"Joseph Biden, ",Delaware,Democratic,1973-2009,0
"Edward Biester, ",Pennsylvania,Republican,0,1967-1977
"Judy Biggert, ",Illinois,Republican,0,1999-2013
"Andy Biggs, ",Arizona,Republican,0,2017-Present
"Brian Bilbray, P.",California,Republican,0,"1995-2001,"
"James Bilbray, H.",Nevada,Democratic,0,1987-1995
"Gus Bilirakis, M.",Florida,Republican,0,2007-Present
"Michael Bilirakis, ",Florida,Republican,0,1983-2007
"Jeff Bingaman, ",New Mexico,Democratic,1983-2013,0
"Jonathan Bingham, B.",New York,Democratic,0,1965-1983
"Dan Bishop, ",North Carolina,Republican,0,2019-Present
"Mike Bishop, ",Michigan,Republican,0,2015-2019
"Rob Bishop, ",Utah,Republican,0,2003-2021
"Sanford Bishop, ",Georgia,Democratic,0,1993-Present
"Timothy Bishop, H.",New York,Democratic,0,2003-2015
"Diane Black, ",Tennessee,Republican,0,2011-2019
"Ben Blackburn, ",Georgia,Republican,0,1967-1975
"Marsha Blackburn, ",Tennessee,Republican,2019-Present,2003-2019
"Lucien Blackwell, E.",Pennsylvania,Democratic,0,1991-1995
"Rod Blagojevich, R.",Illinois,Democratic,0,1997-2003
"James Blanchard, ",Michigan,Democratic,0,1975-1983
"John Blatnik, Anton",Minnesota,Democratic,0,1947-1975
"Ben Blaz, G.",Guam,Republican,0,1985-1993
"Tom Bliley, ",Virginia,Republican,0,1981-2001
"Michael Blouin, ",Iowa,Democratic,0,1975-1979
"Rod Blum, ",Iowa,Republican,0,2015-2019
"Earl Blumenauer, ",Oregon,Democratic,0,1995-Present
"Richard Blumenthal, ",Connecticut,Democratic,2011-Present,0
"Rochester, Blunt, Lisa",Delaware,Democratic,0,2017-Present
"Roy Blunt, ",Missouri,Republican,2011-Present,1997-2011
"Peter Blute, I.",Massachusetts,Republican,0,1993-1997
"John Boccieri, A.",Ohio,Democratic,0,2009-2011
"Lauren Boebert, ",Colorado,Republican,0,2021-Present
"Sherwood Boehlert, ",New York,Republican,0,1983-2007
"John Boehner, A.",Ohio,Republican,0,1991-2015
"Corinne Boggs, ",Louisiana,Democratic,0,1973-1991
"Edward Boland, P.",Massachusetts,Democratic,0,1953-1989
"Richard Bolling, ",Missouri,Democratic,0,1949-1983
"Suzanne Bonamici, ",Oregon,Democratic,0,2012-Present
"Christopher Bond, S.",Missouri,Republican,1987-2011,0
"William Boner, H.",Tennessee,Democratic,0,1979-1989
"Henry Bonilla, ",Texas,Republican,0,1993-2007
"David Bonior, E.",Michigan,Democratic,0,1977-2003
"Don Bonker, ",Washington,Democratic,0,1975-1989
"Jo Bonner, ",Alabama,Republican,0,2003-2013
"Mack, Bono, Mary",California,Republican,0,1997-2013
"Sonny Bono, ",California,Republican,0,1995-1999
"Cory Booker, A.",New Jersey,Democratic,2013-Present,0
"John Boozman, ",Arkansas,Republican,2011-Present,2001-2011
"Madeleine Bordallo, Z.",Guam,Democratic,0,2003-2019
"Dan Boren, ",Oklahoma,Democratic,0,2005-2013
"David Boren, L.",Oklahoma,Democratic,1979-1995,0
"Robert Borski, A.",Pennsylvania,Democratic,0,1983-2003
"Rudy Boschwitz, ",Minnesota,Republican,1979-1991,0
"Douglas Bosco, H.",California,Democratic,0,1983-1991
"Mike Bost, ",Illinois,Republican,0,2015-Present
"Leonard Boswell, L.",Iowa,Democratic,0,1997-2013
"Rick Boucher, ",Virginia,Democratic,0,1983-2011
"Beau Boulter, ",Texas,Republican,0,1985-1989
"Carolyn Bourdeaux, ",Georgia,Democratic,0,2021-Present
"Charles Boustany, ",Louisiana,Republican,0,2005-2017
"David Bowen, R.",Mississippi,Democratic,0,1973-1983
"Jamaal Bowman, ",New York,Democratic,0,2021-Present
"Barbara Boxer, ",California,Democratic,1993-2017,1983-1993
"Allen Boyd, ",Florida,Democratic,0,1997-2011
"Nancy Boyda, E.",Kansas,Democratic,0,2007-2009
"Brendan Boyle, F.",Pennsylvania,Democratic,0,2015-Present
"John Brademas, ",Indiana,Democratic,0,1959-1981
"Bill Bradley, ",New Jersey,Democratic,1979-1997,0
"Jeb Bradley, ",New Hampshire,Republican,0,2003-2007
"Kevin Brady, ",Texas,Republican,0,1997-Present
"Nicholas Brady, ",New Jersey,Republican,1981-1983,0
"Robert Brady, A.",Pennsylvania,Democratic,0,1997-2019
"Bruce Braley, L.",Iowa,Democratic,0,2007-2015
"Frank Brasco, ",New York,Democratic,0,1967-1975
"Dave Brat, ",Virginia,Republican,0,2014-2019
"Mike Braun, ",Indiana,Republican,2019-Present,0
"William Bray, G.",Indiana,Republican,0,1951-1975
"John Breaux, B.",Louisiana,Democratic,1987-2005,1971-1987
"John Breckinridge, B.",Kentucky,Democratic,0,1973-1979
"Joseph Brennan, E.",Maine,Democratic,0,1987-1991
"Bill Brewster, K.",Oklahoma,Democratic,0,1991-1997
"Jim Bridenstine, ",Oklahoma,Republican,0,2013-2018
"Bobby Bright, ",Alabama,Democratic,0,2009-2011
"Anthony Brindisi, ",New York,Democratic,0,2019-2021
"Jack Brinkley, ",Georgia,Democratic,0,1967-1983
"Robin Britt, ",North Carolina,Democratic,0,1983-1985
"Bill Brock, ",Tennessee,Republican,1971-1977,1963-1971
"William Brodhead, ",Michigan,Democratic,0,1975-1983
"Edward Brooke, W.",Massachusetts,Republican,1967-1979,0
"Jack Brooks, B.",Texas,Democratic,0,1953-1995
"Mo Brooks, ",Alabama,Republican,0,2011-Present
"Susan Brooks, W.",Indiana,Republican,0,2013-2021
"William Broomfield, S.",Michigan,Republican,0,1957-1993
"Donald Brotzman, G.",Colorado,Republican,0,"1963-1965,"
"Paul Broun, C.",Georgia,Republican,0,2007-2015
"Glen Browder, ",Alabama,Democratic,0,1989-1997
"Anthony Brown, G.",Maryland,Democratic,0,2017-Present
"Clarence, Brown, Jr.",Ohio,Republican,0,1965-1983
"Corrine Brown, ",Florida,Democratic,0,1993-2017
"Garry Brown, E.",Michigan,Republican,0,1967-1979
"George Brown, ",California,Democratic,0,"1963-1971,"
"Hank Brown, ",Colorado,Republican,1991-1997,1981-1991
"Henry Brown, ",South Carolina,Republican,0,2001-2011
"Scott Brown, P.",Massachusetts,Republican,2010-2013,0
"Sherrod Brown, ",Ohio,Democratic,2007-Present,1993-2007
"Ginny Brown-Waite, ",Florida,Republican,0,2003-2011
"Sam Brownback, ",Kansas,Republican,1996-2011,1995-1996
"Julia Brownley, ",California,Democratic,0,2013-Present
"James Broyhill, T.",North Carolina,Republican,1986-1987,1963-1986
"Joel Broyhill, T.",Virginia,Republican,0,1953-1975
"Terry Bruce, L.",Illinois,Democratic,0,1985-1993
"Richard Bryan, H.",Nevada,Democratic,1989-2001,0
"Ed Bryant, ",Tennessee,Republican,0,1995-2003
"John Bryant, W.",Texas,Democratic,0,1983-1997
"John Buchanan, ",Alabama,Republican,0,1965-1981
"Vern Buchanan, ",Florida,Republican,0,2007-Present
"Ken Buck, ",Colorado,Republican,0,2015-Present
"James Buckley, L.",New York,Republican,1971-1977,0
"Larry Bucshon, ",Indiana,Republican,0,2011-Present
"Ted Budd, ",North Carolina,Republican,0,2017-Present
"Jack Buechner, ",Missouri,Republican,0,1987-1991
"Ann Buerkle, Marie",New York,Republican,0,2011-2013
"Dale Bumpers, ",Arkansas,Democratic,1975-1999,0
